dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,n_seeds
ag_news,tfidf_logreg,hybrid_al,250,0.4064,0.2314,5
ag_news,tfidf_logreg,hybrid_al,500,0.6375,0.0366,5
ag_news,tfidf_logreg,hybrid_al,1000,0.793,0.0091,5
ag_news,tfidf_logreg,random,50,0.2254,0.1004,5
ag_news,tfidf_logreg,random,100,0.345,0.0741,5
ag_news,tfidf_logreg,random,250,0.6172,0.0777,5
ag_news,tfidf_logreg,random,500,0.7158,0.0293,5
ag_news,tfidf_logreg,random,1000,0.7745,0.0075,5
ag_news,tfidf_logreg,uncertainty_al,50,0.1974,0.119,5
ag_news,tfidf_logreg,uncertainty_al,100,0.1866,0.0803,5
ag_news,tfidf_logreg,uncertainty_al,250,0.3422,0.1076,5
ag_news,tfidf_logreg,uncertainty_al,500,0.4648,0.0997,5
ag_news,tfidf_logreg,uncertainty_al,1000,0.7897,0.0269,5
banking77,sentence_transformer_logreg,diversity_al,50,0.0494,0.001,5
banking77,sentence_transformer_logreg,diversity_al,100,0.1154,0.0166,5
banking77,sentence_transformer_logreg,diversity_al,250,0.2467,0.0217,5
banking77,sentence_transformer_logreg,diversity_al,500,0.436,0.0184,5
banking77,sentence_transformer_logreg,diversity_al,1000,0.733,0.0036,5
banking77,sentence_transformer_logreg,hybrid_al,50,0.0533,0.0089,5
banking77,sentence_transformer_logreg,hybrid_al,100,0.1144,0.0187,5
banking77,sentence_transformer_logreg,hybrid_al,250,0.2329,0.0405,5
banking77,sentence_transformer_logreg,hybrid_al,500,0.4512,0.0192,5
banking77,sentence_transformer_logreg,hybrid_al,1000,0.729,0.0103,5
banking77,sentence_transformer_logreg,random,50,0.0357,0.0085,5
banking77,sentence_transformer_logreg,random,100,0.086,0.0287,5
banking77,sentence_transformer_logreg,random,250,0.2542,0.0394,5
banking77,sentence_transformer_logreg,random,500,0.4831,0.0252,5
banking77,sentence_transformer_logreg,random,1000,0.7407,0.0035,5
banking77,sentence_transformer_logreg,uncertainty_al,50,0.0396,0.0274,5
banking77,sentence_transformer_logreg,uncertainty_al,100,0.0799,0.0071,5
banking77,sentence_transformer_logreg,uncertainty_al,250,0.1884,0.0242,5
banking77,sentence_transformer_logreg,uncertainty_al,500,0.3528,0.0287,5
banking77,sentence_transformer_logreg,uncertainty_al,1000,0.7007,0.0148,5
banking77,tfidf_logreg,diversity_al,50,0.0348,0.0058,5
banking77,tfidf_logreg,diversity_al,100,0.0571,0.0075,5
banking77,tfidf_logreg,diversity_al,250,0.0942,0.0207,5
banking77,tfidf_logreg,diversity_al,500,0.2115,0.0055,5
banking77,tfidf_logreg,diversity_al,1000,0.5178,0.0064,5
banking77,tfidf_logreg,hybrid_al,50,0.0189,0.013,5
banking77,tfidf_logreg,hybrid_al,100,0.038,0.0224,5
banking77,tfidf_logreg,hybrid_al,250,0.0655,0.0116,5
banking77,tfidf_logreg,hybrid_al,500,0.2221,0.0105,5
banking77,tfidf_logreg,hybrid_al,1000,0.5231,0.0077,5
banking77,tfidf_logreg,random,50,0.0236,0.0109,5
banking77,tfidf_logreg,random,100,0.0478,0.0155,5
banking77,tfidf_logreg,random,250,0.1453,0.0147,5
banking77,tfidf_logreg,random,500,0.2931,0.0181,5
banking77,tfidf_logreg,random,1000,0.5447,0.0067,5
banking77,tfidf_logreg,uncertainty_al,50,0.0252,0.0169,5
banking77,tfidf_logreg,uncertainty_al,100,0.0416,0.0155,5
banking77,tfidf_logreg,uncertainty_al,250,0.1094,0.0156,5
banking77,tfidf_logreg,uncertainty_al,500,0.1939,0.0098,5
banking77,tfidf_logreg,uncertainty_al,1000,0.4893,0.0136,5
emotion,sentence_transformer_logreg,diversity_al,50,0.2212,0.0094,5
emotion,sentence_transformer_logreg,diversity_al,100,0.2515,0.0301,5
emotion,sentence_transformer_logreg,diversity_al,250,0.324,0.0134,5
emotion,sentence_transformer_logreg,diversity_al,500,0.3984,0.0123,5
emotion,sentence_transformer_logreg,diversity_al,1000,0.4437,0.0023,5
emotion,sentence_transformer_logreg,hybrid_al,50,0.2274,0.0358,5
emotion,sentence_transformer_logreg,hybrid_al,100,0.2926,0.0148,5
emotion,sentence_transformer_logreg,hybrid_al,250,0.371,0.0262,5
emotion,sentence_transformer_logreg,hybrid_al,500,0.4344,0.0127,5
emotion,sentence_transformer_logreg,hybrid_al,1000,0.4697,0.0037,5
emotion,sentence_transformer_logreg,random,50,0.1533,0.0341,5
emotion,sentence_transformer_logreg,random,100,0.224,0.0187,5
emotion,sentence_transformer_logreg,random,250,0.3295,0.0212,5
emotion,sentence_transformer_logreg,random,500,0.402,0.0163,5
emotion,sentence_transformer_logreg,random,1000,0.4515,0.0068,5
emotion,sentence_transformer_logreg,uncertainty_al,50,0.1636,0.0262,5
emotion,sentence_transformer_logreg,uncertainty_al,100,0.2585,0.0504,5
emotion,sentence_transformer_logreg,uncertainty_al,250,0.3448,0.0171,5
emotion,sentence_transformer_logreg,uncertainty_al,500,0.3998,0.0131,5
emotion,sentence_transformer_logreg,uncertainty_al,1000,0.4572,0.0111,5
emotion,tfidf_logreg,diversity_al,50,0.1343,0.0175,5
emotion,tfidf_logreg,diversity_al,100,0.1299,0.0138,5
emotion,tfidf_logreg,diversity_al,250,0.1241,0.0203,5
emotion,tfidf_logreg,diversity_al,500,0.1234,0.0062,5
emotion,tfidf_logreg,diversity_al,1000,0.197,0.0021,5
emotion,tfidf_logreg,hybrid_al,50,0.1324,0.0292,5
emotion,tfidf_logreg,hybrid_al,100,0.1316,0.0177,5
emotion,tfidf_logreg,hybrid_al,250,0.1337,0.0185,5
emotion,tfidf_logreg,hybrid_al,500,0.1868,0.0157,5
emotion,tfidf_logreg,hybrid_al,1000,0.2339,0.0053,5
emotion,tfidf_logreg,random,50,0.1033,0.0172,5
emotion,tfidf_logreg,random,100,0.1371,0.0216,5
emotion,tfidf_logreg,random,250,0.1562,0.0212,5
emotion,tfidf_logreg,random,500,0.1778,0.0097,5
emotion,tfidf_logreg,random,1000,0.2093,0.0071,5
emotion,tfidf_logreg,uncertainty_al,50,0.0969,0.0217,5
emotion,tfidf_logreg,uncertainty_al,100,0.133,0.0191,5
emotion,tfidf_logreg,uncertainty_al,250,0.1479,0.0172,5
emotion,tfidf_logreg,uncertainty_al,500,0.1745,0.0178,5
emotion,tfidf_logreg,uncertainty_al,1000,0.2129,0.0137,5
financial_phrasebank,sentence_transformer_logreg,diversity_al,50,0.2548,0.0027,5
financial_phrasebank,sentence_transformer_logreg,diversity_al,100,0.2792,0.0383,5
financial_phrasebank,sentence_transformer_logreg,diversity_al,250,0.6444,0.048,5
financial_phrasebank,sentence_transformer_logreg,diversity_al,500,0.7808,0.0203,5
financial_phrasebank,sentence_transformer_logreg,diversity_al,1000,0.8472,0.0071,5
financial_phrasebank,sentence_transformer_logreg,hybrid_al,50,0.6126,0.1141,5
financial_phrasebank,sentence_transformer_logreg,hybrid_al,100,0.6928,0.1055,5
financial_phrasebank,sentence_transformer_logreg,hybrid_al,250,0.7783,0.0302,5
financial_phrasebank,sentence_transformer_logreg,hybrid_al,500,0.8127,0.0118,5
financial_phrasebank,sentence_transformer_logreg,hybrid_al,1000,0.8451,0.0064,5
financial_phrasebank,sentence_transformer_logreg,random,50,0.5439,0.1091,5
financial_phrasebank,sentence_transformer_logreg,random,100,0.682,0.0586,5
financial_phrasebank,sentence_transformer_logreg,random,250,0.7789,0.032,5
financial_phrasebank,sentence_transformer_logreg,random,500,0.7973,0.0159,5
financial_phrasebank,sentence_transformer_logreg,random,1000,0.8333,0.0051,5
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,50,0.401,0.115,5
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,100,0.5065,0.1855,5
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,250,0.7605,0.0536,5
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,500,0.8343,0.009,5
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,1000,0.8428,0.0063,5
financial_phrasebank,tfidf_logreg,diversity_al,50,0.2535,0.0,5
financial_phrasebank,tfidf_logreg,diversity_al,100,0.2535,0.0,5
financial_phrasebank,tfidf_logreg,diversity_al,250,0.2548,0.0027,5
financial_phrasebank,tfidf_logreg,diversity_al,500,0.3298,0.0466,5
financial_phrasebank,tfidf_logreg,diversity_al,1000,0.6681,0.0285,5
financial_phrasebank,tfidf_logreg,hybrid_al,50,0.467,0.0829,5
financial_phrasebank,tfidf_logreg,hybrid_al,100,0.5514,0.0889,5
financial_phrasebank,tfidf_logreg,hybrid_al,250,0.6456,0.0601,5
financial_phrasebank,tfidf_logreg,hybrid_al,500,0.7367,0.0128,5
financial_phrasebank,tfidf_logreg,hybrid_al,1000,0.7506,0.0026,5
financial_phrasebank,tfidf_logreg,random,50,0.4057,0.1104,5
financial_phrasebank,tfidf_logreg,random,100,0.4445,0.0355,5
financial_phrasebank,tfidf_logreg,random,250,0.5777,0.0557,5
financial_phrasebank,tfidf_logreg,random,500,0.631,0.0168,5
financial_phrasebank,tfidf_logreg,random,1000,0.7158,0.0126,5
financial_phrasebank,tfidf_logreg,uncertainty_al,50,0.2675,0.0344,5
financial_phrasebank,tfidf_logreg,uncertainty_al,100,0.3599,0.145,5
financial_phrasebank,tfidf_logreg,uncertainty_al,250,0.521,0.1873,5
financial_phrasebank,tfidf_logreg,uncertainty_al,500,0.7546,0.0149,5
financial_phrasebank,tfidf_logreg,uncertainty_al,1000,0.7481,0.007,5
rotten_tomatoes,sentence_transformer_logreg,diversity_al,50,0.4381,0.0743,5
rotten_tomatoes,sentence_transformer_logreg,diversity_al,100,0.6597,0.0461,5
rotten_tomatoes,sentence_transformer_logreg,diversity_al,250,0.692,0.0196,5
rotten_tomatoes,sentence_transformer_logreg,diversity_al,500,0.699,0.0071,5
rotten_tomatoes,sentence_transformer_logreg,diversity_al,1000,0.7415,0.0039,5
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,50,0.5596,0.126,5
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,100,0.6703,0.0348,5
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,250,0.7083,0.0092,5
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,500,0.72,0.0111,5
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,1000,0.7301,0.0059,5
rotten_tomatoes,sentence_transformer_logreg,random,50,0.5488,0.1083,5
rotten_tomatoes,sentence_transformer_logreg,random,100,0.6644,0.0256,5
rotten_tomatoes,sentence_transformer_logreg,random,250,0.7111,0.0138,5
rotten_tomatoes,sentence_transformer_logreg,random,500,0.7331,0.0029,5
rotten_tomatoes,sentence_transformer_logreg,random,1000,0.7383,0.0034,5
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,50,0.5057,0.1231,5
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,100,0.5756,0.1153,5
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,250,0.6902,0.0222,5
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,500,0.7185,0.0135,5
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,1000,0.7383,0.0038,5
rotten_tomatoes,tfidf_logreg,diversity_al,50,0.3338,0.0,5
rotten_tomatoes,tfidf_logreg,diversity_al,100,0.522,0.0389,5
rotten_tomatoes,tfidf_logreg,diversity_al,250,0.5202,0.0646,5
rotten_tomatoes,tfidf_logreg,diversity_al,500,0.5967,0.0363,5
rotten_tomatoes,tfidf_logreg,diversity_al,1000,0.689,0.0103,5
rotten_tomatoes,tfidf_logreg,hybrid_al,50,0.4347,0.0906,5
rotten_tomatoes,tfidf_logreg,hybrid_al,100,0.5226,0.0508,5
rotten_tomatoes,tfidf_logreg,hybrid_al,250,0.5381,0.0903,5
rotten_tomatoes,tfidf_logreg,hybrid_al,500,0.5283,0.0937,5
rotten_tomatoes,tfidf_logreg,hybrid_al,1000,0.685,0.0091,5
rotten_tomatoes,tfidf_logreg,random,50,0.4356,0.095,5
rotten_tomatoes,tfidf_logreg,random,100,0.5331,0.0302,5
rotten_tomatoes,tfidf_logreg,random,250,0.5683,0.051,5
rotten_tomatoes,tfidf_logreg,random,500,0.6391,0.0111,5
rotten_tomatoes,tfidf_logreg,random,1000,0.6788,0.0077,5
rotten_tomatoes,tfidf_logreg,uncertainty_al,50,0.3897,0.0818,5
rotten_tomatoes,tfidf_logreg,uncertainty_al,100,0.3947,0.0709,5
rotten_tomatoes,tfidf_logreg,uncertainty_al,250,0.5132,0.0773,5
rotten_tomatoes,tfidf_logreg,uncertainty_al,500,0.5808,0.0566,5
rotten_tomatoes,tfidf_logreg,uncertainty_al,1000,0.6594,0.0239,5
sst2,sentence_transformer_logreg,diversity_al,50,0.6579,0.0656,5
sst2,sentence_transformer_logreg,diversity_al,100,0.723,0.0081,5
sst2,sentence_transformer_logreg,diversity_al,250,0.7634,0.007,5
sst2,sentence_transformer_logreg,diversity_al,500,0.7787,0.0044,5
sst2,sentence_transformer_logreg,diversity_al,1000,0.7936,0.0023,5
sst2,sentence_transformer_logreg,hybrid_al,50,0.6615,0.0512,5
sst2,sentence_transformer_logreg,hybrid_al,100,0.7265,0.0263,5
sst2,sentence_transformer_logreg,hybrid_al,250,0.7677,0.0145,5
sst2,sentence_transformer_logreg,hybrid_al,500,0.79,0.0073,5
sst2,sentence_transformer_logreg,hybrid_al,1000,0.801,0.0039,5
sst2,sentence_transformer_logreg,random,50,0.5585,0.1054,5
sst2,sentence_transformer_logreg,random,100,0.7214,0.0292,5
sst2,sentence_transformer_logreg,random,250,0.7738,0.013,5
sst2,sentence_transformer_logreg,random,500,0.7926,0.0097,5
sst2,sentence_transformer_logreg,random,1000,0.7974,0.0018,5
sst2,sentence_transformer_logreg,uncertainty_al,50,0.4786,0.1585,5
sst2,sentence_transformer_logreg,uncertainty_al,100,0.7147,0.0268,5
sst2,sentence_transformer_logreg,uncertainty_al,250,0.7677,0.0148,5
sst2,sentence_transformer_logreg,uncertainty_al,500,0.7883,0.0041,5
sst2,sentence_transformer_logreg,uncertainty_al,1000,0.7986,0.0023,5
sst2,tfidf_logreg,diversity_al,50,0.3952,0.0777,5
sst2,tfidf_logreg,diversity_al,100,0.5568,0.0376,5
sst2,tfidf_logreg,diversity_al,250,0.611,0.0201,5
sst2,tfidf_logreg,diversity_al,500,0.6185,0.0268,5
sst2,tfidf_logreg,diversity_al,1000,0.7001,0.0053,5
sst2,tfidf_logreg,hybrid_al,50,0.4903,0.0912,5
sst2,tfidf_logreg,hybrid_al,100,0.4736,0.0809,5
sst2,tfidf_logreg,hybrid_al,250,0.5769,0.0848,5
sst2,tfidf_logreg,hybrid_al,500,0.6401,0.0242,5
sst2,tfidf_logreg,hybrid_al,1000,0.7033,0.0125,5
sst2,tfidf_logreg,random,50,0.4065,0.1028,5
sst2,tfidf_logreg,random,100,0.5239,0.0696,5
sst2,tfidf_logreg,random,250,0.6037,0.0234,5
sst2,tfidf_logreg,random,500,0.6614,0.0138,5
sst2,tfidf_logreg,random,1000,0.6995,0.0074,5
sst2,tfidf_logreg,uncertainty_al,50,0.356,0.0305,5
sst2,tfidf_logreg,uncertainty_al,100,0.5003,0.1018,5
sst2,tfidf_logreg,uncertainty_al,250,0.5398,0.0397,5
sst2,tfidf_logreg,uncertainty_al,500,0.6195,0.0709,5
sst2,tfidf_logreg,uncertainty_al,1000,0.7121,0.012,5
trec,sentence_transformer_logreg,diversity_al,50,0.1881,0.0424,5
trec,sentence_transformer_logreg,diversity_al,100,0.3284,0.021,5
trec,sentence_transformer_logreg,diversity_al,250,0.5544,0.0134,5
trec,sentence_transformer_logreg,diversity_al,500,0.6531,0.0147,5
trec,sentence_transformer_logreg,diversity_al,1000,0.7001,0.0037,5
trec,sentence_transformer_logreg,hybrid_al,50,0.125,0.0484,5
trec,sentence_transformer_logreg,hybrid_al,100,0.3362,0.0671,5
trec,sentence_transformer_logreg,hybrid_al,250,0.5669,0.0155,5
trec,sentence_transformer_logreg,hybrid_al,500,0.6253,0.0119,5
trec,sentence_transformer_logreg,hybrid_al,1000,0.7208,0.0067,5
trec,sentence_transformer_logreg,random,50,0.2651,0.0852,5
trec,sentence_transformer_logreg,random,100,0.4667,0.0733,5
trec,sentence_transformer_logreg,random,250,0.6142,0.0449,5
trec,sentence_transformer_logreg,random,500,0.6722,0.0067,5
trec,sentence_transformer_logreg,random,1000,0.6967,0.0107,5
trec,sentence_transformer_logreg,uncertainty_al,50,0.1722,0.109,5
trec,sentence_transformer_logreg,uncertainty_al,100,0.2397,0.0938,5
trec,sentence_transformer_logreg,uncertainty_al,250,0.5065,0.0478,5
trec,sentence_transformer_logreg,uncertainty_al,500,0.643,0.0375,5
trec,sentence_transformer_logreg,uncertainty_al,1000,0.7161,0.0131,5
trec,tfidf_logreg,diversity_al,50,0.1681,0.0377,5
trec,tfidf_logreg,diversity_al,100,0.2661,0.0147,5
trec,tfidf_logreg,diversity_al,250,0.2805,0.0136,5
trec,tfidf_logreg,diversity_al,500,0.4767,0.0099,5
trec,tfidf_logreg,diversity_al,1000,0.6353,0.0067,5
trec,tfidf_logreg,hybrid_al,50,0.0806,0.0175,5
trec,tfidf_logreg,hybrid_al,100,0.2221,0.0433,5
trec,tfidf_logreg,hybrid_al,250,0.4569,0.0225,5
trec,tfidf_logreg,hybrid_al,500,0.5631,0.0172,5
trec,tfidf_logreg,hybrid_al,1000,0.7876,0.0031,5
trec,tfidf_logreg,random,50,0.2843,0.0373,5
trec,tfidf_logreg,random,100,0.3666,0.0723,5
trec,tfidf_logreg,random,250,0.5364,0.0663,5
trec,tfidf_logreg,random,500,0.6814,0.0567,5
trec,tfidf_logreg,random,1000,0.7632,0.0116,5
trec,tfidf_logreg,uncertainty_al,50,0.1011,0.053,5
trec,tfidf_logreg,uncertainty_al,100,0.1814,0.0603,5
trec,tfidf_logreg,uncertainty_al,250,0.3594,0.0763,5
trec,tfidf_logreg,uncertainty_al,500,0.5831,0.1012,5
trec,tfidf_logreg,uncertainty_al,1000,0.7465,0.0512,5
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,50,0.2809,0.0627,5
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,100,0.3884,0.0331,5
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,250,0.5095,0.0353,5
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,500,0.5761,0.007,5
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,1000,0.5716,0.0077,5
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,50,0.3057,0.0295,5
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,100,0.3585,0.0638,5
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,250,0.4752,0.0353,5
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,500,0.5556,0.0096,5
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,1000,0.5757,0.009,5
tweet_eval_sentiment,sentence_transformer_logreg,random,50,0.3229,0.0781,5
tweet_eval_sentiment,sentence_transformer_logreg,random,100,0.3288,0.0588,5
tweet_eval_sentiment,sentence_transformer_logreg,random,250,0.5062,0.0244,5
tweet_eval_sentiment,sentence_transformer_logreg,random,500,0.5148,0.0395,5
tweet_eval_sentiment,sentence_transformer_logreg,random,1000,0.5774,0.0118,5
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,50,0.3091,0.0363,5
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,100,0.3672,0.0192,5
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,250,0.4473,0.0665,5
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,500,0.5561,0.0313,5
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,1000,0.5685,0.0097,5
tweet_eval_sentiment,tfidf_logreg,diversity_al,50,0.211,0.0042,5
tweet_eval_sentiment,tfidf_logreg,diversity_al,100,0.2283,0.0292,5
tweet_eval_sentiment,tfidf_logreg,diversity_al,250,0.2475,0.0211,5
tweet_eval_sentiment,tfidf_logreg,diversity_al,500,0.2993,0.0314,5
tweet_eval_sentiment,tfidf_logreg,diversity_al,1000,0.3589,0.0032,5
tweet_eval_sentiment,tfidf_logreg,hybrid_al,50,0.2386,0.0288,5
tweet_eval_sentiment,tfidf_logreg,hybrid_al,100,0.2477,0.0297,5
tweet_eval_sentiment,tfidf_logreg,hybrid_al,250,0.285,0.0268,5
tweet_eval_sentiment,tfidf_logreg,hybrid_al,500,0.3152,0.0125,5
tweet_eval_sentiment,tfidf_logreg,hybrid_al,1000,0.3597,0.0066,5
tweet_eval_sentiment,tfidf_logreg,random,50,0.2252,0.0609,5
tweet_eval_sentiment,tfidf_logreg,random,100,0.2423,0.0486,5
tweet_eval_sentiment,tfidf_logreg,random,250,0.2961,0.0212,5
tweet_eval_sentiment,tfidf_logreg,random,500,0.321,0.0148,5
tweet_eval_sentiment,tfidf_logreg,random,1000,0.3577,0.0065,5
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,50,0.2397,0.0528,5
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,100,0.2569,0.0526,5
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,250,0.2971,0.0301,5
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,500,0.3101,0.0115,5
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,1000,0.3548,0.0056,5
twenty_newsgroups,sentence_transformer_logreg,diversity_al,50,0.0695,0.0138,5
twenty_newsgroups,sentence_transformer_logreg,diversity_al,100,0.1399,0.0164,5
twenty_newsgroups,sentence_transformer_logreg,diversity_al,250,0.3943,0.0187,5
twenty_newsgroups,sentence_transformer_logreg,diversity_al,500,0.5643,0.008,5
twenty_newsgroups,sentence_transformer_logreg,diversity_al,1000,0.6258,0.0046,5
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,50,0.0747,0.0292,5
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,100,0.1795,0.0797,5
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,250,0.4238,0.052,5
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,500,0.5978,0.013,5
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,1000,0.6301,0.0059,5
twenty_newsgroups,sentence_transformer_logreg,random,50,0.0969,0.0442,5
twenty_newsgroups,sentence_transformer_logreg,random,100,0.2118,0.0289,5
twenty_newsgroups,sentence_transformer_logreg,random,250,0.4949,0.0261,5
twenty_newsgroups,sentence_transformer_logreg,random,500,0.5895,0.0211,5
twenty_newsgroups,sentence_transformer_logreg,random,1000,0.6316,0.0117,5
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,50,0.0563,0.0173,5
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,100,0.1838,0.0448,5
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,250,0.3308,0.0803,5
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,500,0.5272,0.0371,5
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,1000,0.6224,0.0015,5
twenty_newsgroups,tfidf_logreg,diversity_al,50,0.0094,0.0055,5
twenty_newsgroups,tfidf_logreg,diversity_al,100,0.0278,0.0156,5
twenty_newsgroups,tfidf_logreg,diversity_al,250,0.0729,0.0116,5
twenty_newsgroups,tfidf_logreg,diversity_al,500,0.1028,0.0206,5
twenty_newsgroups,tfidf_logreg,diversity_al,1000,0.3117,0.005,5
twenty_newsgroups,tfidf_logreg,hybrid_al,50,0.0123,0.0017,5
twenty_newsgroups,tfidf_logreg,hybrid_al,100,0.0246,0.0191,5
twenty_newsgroups,tfidf_logreg,hybrid_al,250,0.0703,0.0251,5
twenty_newsgroups,tfidf_logreg,hybrid_al,500,0.131,0.0199,5
twenty_newsgroups,tfidf_logreg,hybrid_al,1000,0.336,0.0123,5
twenty_newsgroups,tfidf_logreg,random,50,0.0102,0.0086,5
twenty_newsgroups,tfidf_logreg,random,100,0.0291,0.0175,5
twenty_newsgroups,tfidf_logreg,random,250,0.1095,0.0322,5
twenty_newsgroups,tfidf_logreg,random,500,0.2332,0.0392,5
twenty_newsgroups,tfidf_logreg,random,1000,0.3481,0.0331,5
twenty_newsgroups,tfidf_logreg,uncertainty_al,50,0.0174,0.0087,5
twenty_newsgroups,tfidf_logreg,uncertainty_al,100,0.034,0.0124,5
twenty_newsgroups,tfidf_logreg,uncertainty_al,250,0.0485,0.0294,5
twenty_newsgroups,tfidf_logreg,uncertainty_al,500,0.0918,0.0489,5
twenty_newsgroups,tfidf_logreg,uncertainty_al,1000,0.2854,0.0279,5
yelp_polarity,sentence_transformer_logreg,diversity_al,50,0.758,0.0395,5
yelp_polarity,sentence_transformer_logreg,diversity_al,100,0.7593,0.0507,5
yelp_polarity,sentence_transformer_logreg,diversity_al,250,0.8267,0.0088,5
yelp_polarity,sentence_transformer_logreg,diversity_al,500,0.8515,0.0028,5
yelp_polarity,sentence_transformer_logreg,diversity_al,1000,0.8493,0.001,5
yelp_polarity,sentence_transformer_logreg,hybrid_al,50,0.7299,0.1033,5
yelp_polarity,sentence_transformer_logreg,hybrid_al,100,0.7199,0.0486,5
yelp_polarity,sentence_transformer_logreg,hybrid_al,250,0.7814,0.0384,5
yelp_polarity,sentence_transformer_logreg,hybrid_al,500,0.8137,0.0161,5
yelp_polarity,sentence_transformer_logreg,hybrid_al,1000,0.8458,0.0034,5
yelp_polarity,sentence_transformer_logreg,random,50,0.7161,0.1192,5
yelp_polarity,sentence_transformer_logreg,random,100,0.7855,0.0129,5
yelp_polarity,sentence_transformer_logreg,random,250,0.8254,0.0081,5
yelp_polarity,sentence_transformer_logreg,random,500,0.8438,0.0105,5
yelp_polarity,sentence_transformer_logreg,random,1000,0.852,0.0053,5
