dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
financial_phrasebank,diversity_al,1000,1,0.5221769533055941,0.7549668874172185,high,0.3,0.003,300.0,3.0,303.0
financial_phrasebank,hybrid_al,50,1,0.49693619491104823,0.6887417218543046,low,0.03,0.004,1.5,0.2,1.7
financial_phrasebank,hybrid_al,50,1,0.49693619491104823,0.6887417218543046,base,0.1,0.004,5.0,0.2,5.2
financial_phrasebank,hybrid_al,50,1,0.49693619491104823,0.6887417218543046,high,0.3,0.004,15.0,0.2,15.2
financial_phrasebank,hybrid_al,100,1,0.5838150172029953,0.7417218543046358,low,0.03,0.004,3.0,0.4,3.4
financial_phrasebank,hybrid_al,100,1,0.5838150172029953,0.7417218543046358,base,0.1,0.004,10.0,0.4,10.4
financial_phrasebank,hybrid_al,100,1,0.5838150172029953,0.7417218543046358,high,0.3,0.004,30.0,0.4,30.4
financial_phrasebank,hybrid_al,250,1,0.6777631470072357,0.7748344370860927,low,0.03,0.004,7.5,1.0,8.5
financial_phrasebank,hybrid_al,250,1,0.6777631470072357,0.7748344370860927,base,0.1,0.004,25.0,1.0,26.0
financial_phrasebank,hybrid_al,250,1,0.6777631470072357,0.7748344370860927,high,0.3,0.004,75.0,1.0,76.0
financial_phrasebank,hybrid_al,500,1,0.7511430620419444,0.8233995584988962,low,0.03,0.004,15.0,2.0,17.0
financial_phrasebank,hybrid_al,500,1,0.7511430620419444,0.8233995584988962,base,0.1,0.004,50.0,2.0,52.0
financial_phrasebank,hybrid_al,500,1,0.7511430620419444,0.8233995584988962,high,0.3,0.004,150.0,2.0,152.0
financial_phrasebank,hybrid_al,1000,1,0.7926097454495021,0.8498896247240618,low,0.03,0.004,30.0,4.0,34.0
financial_phrasebank,hybrid_al,1000,1,0.7926097454495021,0.8498896247240618,base,0.1,0.004,100.0,4.0,104.0
financial_phrasebank,hybrid_al,1000,1,0.7926097454495021,0.8498896247240618,high,0.3,0.004,300.0,4.0,304.0
financial_phrasebank,random,50,2,0.2657237910537187,0.6181015452538632,low,0.03,0.0,1.5,0.0,1.5
financial_phrasebank,random,50,2,0.2657237910537187,0.6181015452538632,base,0.1,0.0,5.0,0.0,5.0
financial_phrasebank,random,50,2,0.2657237910537187,0.6181015452538632,high,0.3,0.0,15.0,0.0,15.0
financial_phrasebank,random,100,2,0.42361081184610594,0.6865342163355408,low,0.03,0.0,3.0,0.0,3.0
financial_phrasebank,random,100,2,0.42361081184610594,0.6865342163355408,base,0.1,0.0,10.0,0.0,10.0
financial_phrasebank,random,100,2,0.42361081184610594,0.6865342163355408,high,0.3,0.0,30.0,0.0,30.0
financial_phrasebank,random,250,2,0.4846143035933987,0.7262693156732892,low,0.03,0.0,7.5,0.0,7.5
financial_phrasebank,random,250,2,0.4846143035933987,0.7262693156732892,base,0.1,0.0,25.0,0.0,25.0
financial_phrasebank,random,250,2,0.4846143035933987,0.7262693156732892,high,0.3,0.0,75.0,0.0,75.0
financial_phrasebank,random,500,2,0.5923921755765894,0.7704194260485652,low,0.03,0.0,15.0,0.0,15.0
financial_phrasebank,random,500,2,0.5923921755765894,0.7704194260485652,base,0.1,0.0,50.0,0.0,50.0
financial_phrasebank,random,500,2,0.5923921755765894,0.7704194260485652,high,0.3,0.0,150.0,0.0,150.0
financial_phrasebank,random,1000,2,0.7280451469886523,0.8233995584988962,low,0.03,0.0,30.0,0.0,30.0
financial_phrasebank,random,1000,2,0.7280451469886523,0.8233995584988962,base,0.1,0.0,100.0,0.0,100.0
financial_phrasebank,random,1000,2,0.7280451469886523,0.8233995584988962,high,0.3,0.0,300.0,0.0,300.0
financial_phrasebank,uncertainty_al,50,2,0.40844680867186495,0.5827814569536424,low,0.03,0.002,1.5,0.1,1.6
financial_phrasebank,uncertainty_al,50,2,0.40844680867186495,0.5827814569536424,base,0.1,0.002,5.0,0.1,5.1
financial_phrasebank,uncertainty_al,50,2,0.40844680867186495,0.5827814569536424,high,0.3,0.002,15.0,0.1,15.1
financial_phrasebank,uncertainty_al,100,2,0.6219197075691687,0.7108167770419426,low,0.03,0.002,3.0,0.2,3.2
financial_phrasebank,uncertainty_al,100,2,0.6219197075691687,0.7108167770419426,base,0.1,0.002,10.0,0.2,10.2
financial_phrasebank,uncertainty_al,100,2,0.6219197075691687,0.7108167770419426,high,0.3,0.002,30.0,0.2,30.2
financial_phrasebank,uncertainty_al,250,2,0.5061593105801719,0.7660044150110376,low,0.03,0.002,7.5,0.5,8.0
financial_phrasebank,uncertainty_al,250,2,0.5061593105801719,0.7660044150110376,base,0.1,0.002,25.0,0.5,25.5
financial_phrasebank,uncertainty_al,250,2,0.5061593105801719,0.7660044150110376,high,0.3,0.002,75.0,0.5,75.5
financial_phrasebank,uncertainty_al,500,2,0.46486112821741915,0.41501103752759383,low,0.03,0.002,15.0,1.0,16.0
financial_phrasebank,uncertainty_al,500,2,0.46486112821741915,0.41501103752759383,base,0.1,0.002,50.0,1.0,51.0
financial_phrasebank,uncertainty_al,500,2,0.46486112821741915,0.41501103752759383,high,0.3,0.002,150.0,1.0,151.0
financial_phrasebank,uncertainty_al,1000,2,0.8068212675799722,0.8719646799116998,low,0.03,0.002,30.0,2.0,32.0
financial_phrasebank,uncertainty_al,1000,2,0.8068212675799722,0.8719646799116998,base,0.1,0.002,100.0,2.0,102.0
financial_phrasebank,uncertainty_al,1000,2,0.8068212675799722,0.8719646799116998,high,0.3,0.002,300.0,2.0,302.0
financial_phrasebank,diversity_al,50,2,0.25353397172822617,0.6136865342163356,low,0.03,0.003,1.5,0.15,1.65
financial_phrasebank,diversity_al,50,2,0.25353397172822617,0.6136865342163356,base,0.1,0.003,5.0,0.15,5.15
financial_phrasebank,diversity_al,50,2,0.25353397172822617,0.6136865342163356,high,0.3,0.003,15.0,0.15,15.15
financial_phrasebank,diversity_al,100,2,0.25353397172822617,0.6136865342163356,low,0.03,0.003,3.0,0.3,3.3
financial_phrasebank,diversity_al,100,2,0.25353397172822617,0.6136865342163356,base,0.1,0.003,10.0,0.3,10.3
financial_phrasebank,diversity_al,100,2,0.25353397172822617,0.6136865342163356,high,0.3,0.003,30.0,0.3,30.3
financial_phrasebank,diversity_al,250,2,0.25353397172822617,0.6136865342163356,low,0.03,0.003,7.5,0.75,8.25
financial_phrasebank,diversity_al,250,2,0.25353397172822617,0.6136865342163356,base,0.1,0.003,25.0,0.75,25.75
financial_phrasebank,diversity_al,250,2,0.25353397172822617,0.6136865342163356,high,0.3,0.003,75.0,0.75,75.75
financial_phrasebank,diversity_al,500,2,0.27752780173921154,0.6225165562913907,low,0.03,0.003,15.0,1.5,16.5
financial_phrasebank,diversity_al,500,2,0.27752780173921154,0.6225165562913907,base,0.1,0.003,50.0,1.5,51.5
financial_phrasebank,diversity_al,500,2,0.27752780173921154,0.6225165562913907,high,0.3,0.003,150.0,1.5,151.5
financial_phrasebank,diversity_al,1000,2,0.5396464740463907,0.7527593818984547,low,0.03,0.003,30.0,3.0,33.0
financial_phrasebank,diversity_al,1000,2,0.5396464740463907,0.7527593818984547,base,0.1,0.003,100.0,3.0,103.0
financial_phrasebank,diversity_al,1000,2,0.5396464740463907,0.7527593818984547,high,0.3,0.003,300.0,3.0,303.0
financial_phrasebank,hybrid_al,50,2,0.5570162399875663,0.717439293598234,low,0.03,0.004,1.5,0.2,1.7
financial_phrasebank,hybrid_al,50,2,0.5570162399875663,0.717439293598234,base,0.1,0.004,5.0,0.2,5.2
financial_phrasebank,hybrid_al,50,2,0.5570162399875663,0.717439293598234,high,0.3,0.004,15.0,0.2,15.2
financial_phrasebank,hybrid_al,100,2,0.6189522750145665,0.7593818984547461,low,0.03,0.004,3.0,0.4,3.4
financial_phrasebank,hybrid_al,100,2,0.6189522750145665,0.7593818984547461,base,0.1,0.004,10.0,0.4,10.4
financial_phrasebank,hybrid_al,100,2,0.6189522750145665,0.7593818984547461,high,0.3,0.004,30.0,0.4,30.4
financial_phrasebank,hybrid_al,250,2,0.6403973588300871,0.7571743929359823,low,0.03,0.004,7.5,1.0,8.5
financial_phrasebank,hybrid_al,250,2,0.6403973588300871,0.7571743929359823,base,0.1,0.004,25.0,1.0,26.0
financial_phrasebank,hybrid_al,250,2,0.6403973588300871,0.7571743929359823,high,0.3,0.004,75.0,1.0,76.0
financial_phrasebank,hybrid_al,500,2,0.7315534801302279,0.8167770419426048,low,0.03,0.004,15.0,2.0,17.0
financial_phrasebank,hybrid_al,500,2,0.7315534801302279,0.8167770419426048,base,0.1,0.004,50.0,2.0,52.0
financial_phrasebank,hybrid_al,500,2,0.7315534801302279,0.8167770419426048,high,0.3,0.004,150.0,2.0,152.0
financial_phrasebank,hybrid_al,1000,2,0.8064473955942953,0.8609271523178808,low,0.03,0.004,30.0,4.0,34.0
financial_phrasebank,hybrid_al,1000,2,0.8064473955942953,0.8609271523178808,base,0.1,0.004,100.0,4.0,104.0
financial_phrasebank,hybrid_al,1000,2,0.8064473955942953,0.8609271523178808,high,0.3,0.004,300.0,4.0,304.0
