dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
trec,diversity_al,100,0,0.12289819051384887,0.238,high,0.3,0.003,30.0,0.3,30.3
trec,diversity_al,250,0,0.24601731865527368,0.394,low,0.03,0.003,7.5,0.75,8.25
trec,diversity_al,250,0,0.24601731865527368,0.394,base,0.1,0.003,25.0,0.75,25.75
trec,diversity_al,250,0,0.24601731865527368,0.394,high,0.3,0.003,75.0,0.75,75.75
trec,diversity_al,500,0,0.2822499715454638,0.424,low,0.03,0.003,15.0,1.5,16.5
trec,diversity_al,500,0,0.2822499715454638,0.424,base,0.1,0.003,50.0,1.5,51.5
trec,diversity_al,500,0,0.2822499715454638,0.424,high,0.3,0.003,150.0,1.5,151.5
trec,diversity_al,1000,0,0.4942453232595782,0.59,low,0.03,0.003,30.0,3.0,33.0
trec,diversity_al,1000,0,0.4942453232595782,0.59,base,0.1,0.003,100.0,3.0,103.0
trec,diversity_al,1000,0,0.4942453232595782,0.59,high,0.3,0.003,300.0,3.0,303.0
trec,hybrid_al,50,0,0.09340965660496738,0.186,low,0.03,0.004,1.5,0.2,1.7
trec,hybrid_al,50,0,0.09340965660496738,0.186,base,0.1,0.004,5.0,0.2,5.2
trec,hybrid_al,50,0,0.09340965660496738,0.186,high,0.3,0.004,15.0,0.2,15.2
trec,hybrid_al,100,0,0.10827982764413206,0.192,low,0.03,0.004,3.0,0.4,3.4
trec,hybrid_al,100,0,0.10827982764413206,0.192,base,0.1,0.004,10.0,0.4,10.4
trec,hybrid_al,100,0,0.10827982764413206,0.192,high,0.3,0.004,30.0,0.4,30.4
trec,hybrid_al,250,0,0.30638147529076604,0.478,low,0.03,0.004,7.5,1.0,8.5
trec,hybrid_al,250,0,0.30638147529076604,0.478,base,0.1,0.004,25.0,1.0,26.0
trec,hybrid_al,250,0,0.30638147529076604,0.478,high,0.3,0.004,75.0,1.0,76.0
trec,hybrid_al,500,0,0.39574575532786055,0.514,low,0.03,0.004,15.0,2.0,17.0
trec,hybrid_al,500,0,0.39574575532786055,0.514,base,0.1,0.004,50.0,2.0,52.0
trec,hybrid_al,500,0,0.39574575532786055,0.514,high,0.3,0.004,150.0,2.0,152.0
trec,hybrid_al,1000,0,0.48073993553546374,0.592,low,0.03,0.004,30.0,4.0,34.0
trec,hybrid_al,1000,0,0.48073993553546374,0.592,base,0.1,0.004,100.0,4.0,104.0
trec,hybrid_al,1000,0,0.48073993553546374,0.592,high,0.3,0.004,300.0,4.0,304.0
trec,random,50,1,0.3733734404397165,0.524,low,0.03,0.0,1.5,0.0,1.5
trec,random,50,1,0.3733734404397165,0.524,base,0.1,0.0,5.0,0.0,5.0
trec,random,50,1,0.3733734404397165,0.524,high,0.3,0.0,15.0,0.0,15.0
trec,random,100,1,0.3187000118479325,0.472,low,0.03,0.0,3.0,0.0,3.0
trec,random,100,1,0.3187000118479325,0.472,base,0.1,0.0,10.0,0.0,10.0
trec,random,100,1,0.3187000118479325,0.472,high,0.3,0.0,30.0,0.0,30.0
trec,random,250,1,0.47334384388924916,0.57,low,0.03,0.0,7.5,0.0,7.5
trec,random,250,1,0.47334384388924916,0.57,base,0.1,0.0,25.0,0.0,25.0
trec,random,250,1,0.47334384388924916,0.57,high,0.3,0.0,75.0,0.0,75.0
trec,random,500,1,0.6570284082608744,0.632,low,0.03,0.0,15.0,0.0,15.0
trec,random,500,1,0.6570284082608744,0.632,base,0.1,0.0,50.0,0.0,50.0
trec,random,500,1,0.6570284082608744,0.632,high,0.3,0.0,150.0,0.0,150.0
trec,random,1000,1,0.6718062461096076,0.71,low,0.03,0.0,30.0,0.0,30.0
trec,random,1000,1,0.6718062461096076,0.71,base,0.1,0.0,100.0,0.0,100.0
trec,random,1000,1,0.6718062461096076,0.71,high,0.3,0.0,300.0,0.0,300.0
trec,uncertainty_al,50,1,0.13926228844440844,0.248,low,0.03,0.002,1.5,0.1,1.6
trec,uncertainty_al,50,1,0.13926228844440844,0.248,base,0.1,0.002,5.0,0.1,5.1
trec,uncertainty_al,50,1,0.13926228844440844,0.248,high,0.3,0.002,15.0,0.1,15.1
trec,uncertainty_al,100,1,0.1515440463046606,0.358,low,0.03,0.002,3.0,0.2,3.2
trec,uncertainty_al,100,1,0.1515440463046606,0.358,base,0.1,0.002,10.0,0.2,10.2
trec,uncertainty_al,100,1,0.1515440463046606,0.358,high,0.3,0.002,30.0,0.2,30.2
trec,uncertainty_al,250,1,0.12668123720636879,0.314,low,0.03,0.002,7.5,0.5,8.0
trec,uncertainty_al,250,1,0.12668123720636879,0.314,base,0.1,0.002,25.0,0.5,25.5
trec,uncertainty_al,250,1,0.12668123720636879,0.314,high,0.3,0.002,75.0,0.5,75.5
trec,uncertainty_al,500,1,0.4073395815531986,0.56,low,0.03,0.002,15.0,1.0,16.0
trec,uncertainty_al,500,1,0.4073395815531986,0.56,base,0.1,0.002,50.0,1.0,51.0
trec,uncertainty_al,500,1,0.4073395815531986,0.56,high,0.3,0.002,150.0,1.0,151.0
trec,uncertainty_al,1000,1,0.6962493157893395,0.658,low,0.03,0.002,30.0,2.0,32.0
trec,uncertainty_al,1000,1,0.6962493157893395,0.658,base,0.1,0.002,100.0,2.0,102.0
trec,uncertainty_al,1000,1,0.6962493157893395,0.658,high,0.3,0.002,300.0,2.0,302.0
trec,diversity_al,50,1,0.10415306422910986,0.206,low,0.03,0.003,1.5,0.15,1.65
trec,diversity_al,50,1,0.10415306422910986,0.206,base,0.1,0.003,5.0,0.15,5.15
trec,diversity_al,50,1,0.10415306422910986,0.206,high,0.3,0.003,15.0,0.15,15.15
trec,diversity_al,100,1,0.13595121795485746,0.262,low,0.03,0.003,3.0,0.3,3.3
trec,diversity_al,100,1,0.13595121795485746,0.262,base,0.1,0.003,10.0,0.3,10.3
trec,diversity_al,100,1,0.13595121795485746,0.262,high,0.3,0.003,30.0,0.3,30.3
trec,diversity_al,250,1,0.26862851811537863,0.398,low,0.03,0.003,7.5,0.75,8.25
trec,diversity_al,250,1,0.26862851811537863,0.398,base,0.1,0.003,25.0,0.75,25.75
trec,diversity_al,250,1,0.26862851811537863,0.398,high,0.3,0.003,75.0,0.75,75.75
trec,diversity_al,500,1,0.28055279667785155,0.418,low,0.03,0.003,15.0,1.5,16.5
trec,diversity_al,500,1,0.28055279667785155,0.418,base,0.1,0.003,50.0,1.5,51.5
trec,diversity_al,500,1,0.28055279667785155,0.418,high,0.3,0.003,150.0,1.5,151.5
trec,diversity_al,1000,1,0.4834064299814309,0.576,low,0.03,0.003,30.0,3.0,33.0
trec,diversity_al,1000,1,0.4834064299814309,0.576,base,0.1,0.003,100.0,3.0,103.0
trec,diversity_al,1000,1,0.4834064299814309,0.576,high,0.3,0.003,300.0,3.0,303.0
trec,hybrid_al,50,1,0.07152396497996737,0.23,low,0.03,0.004,1.5,0.2,1.7
trec,hybrid_al,50,1,0.07152396497996737,0.23,base,0.1,0.004,5.0,0.2,5.2
trec,hybrid_al,50,1,0.07152396497996737,0.23,high,0.3,0.004,15.0,0.2,15.2
trec,hybrid_al,100,1,0.07810465073820275,0.232,low,0.03,0.004,3.0,0.4,3.4
trec,hybrid_al,100,1,0.07810465073820275,0.232,base,0.1,0.004,10.0,0.4,10.4
trec,hybrid_al,100,1,0.07810465073820275,0.232,high,0.3,0.004,30.0,0.4,30.4
trec,hybrid_al,250,1,0.5126781262571316,0.604,low,0.03,0.004,7.5,1.0,8.5
trec,hybrid_al,250,1,0.5126781262571316,0.604,base,0.1,0.004,25.0,1.0,26.0
trec,hybrid_al,250,1,0.5126781262571316,0.604,high,0.3,0.004,75.0,1.0,76.0
trec,hybrid_al,500,1,0.40553633749362333,0.5,low,0.03,0.004,15.0,2.0,17.0
trec,hybrid_al,500,1,0.40553633749362333,0.5,base,0.1,0.004,50.0,2.0,52.0
trec,hybrid_al,500,1,0.40553633749362333,0.5,high,0.3,0.004,150.0,2.0,152.0
trec,hybrid_al,1000,1,0.5088375662961739,0.612,low,0.03,0.004,30.0,4.0,34.0
trec,hybrid_al,1000,1,0.5088375662961739,0.612,base,0.1,0.004,100.0,4.0,104.0
trec,hybrid_al,1000,1,0.5088375662961739,0.612,high,0.3,0.004,300.0,4.0,304.0
trec,random,50,2,0.22934446099046943,0.374,low,0.03,0.0,1.5,0.0,1.5
trec,random,50,2,0.22934446099046943,0.374,base,0.1,0.0,5.0,0.0,5.0
trec,random,50,2,0.22934446099046943,0.374,high,0.3,0.0,15.0,0.0,15.0
trec,random,100,2,0.3945640747702633,0.504,low,0.03,0.0,3.0,0.0,3.0
trec,random,100,2,0.3945640747702633,0.504,base,0.1,0.0,10.0,0.0,10.0
trec,random,100,2,0.3945640747702633,0.504,high,0.3,0.0,30.0,0.0,30.0
trec,random,250,2,0.40235400946955185,0.442,low,0.03,0.0,7.5,0.0,7.5
trec,random,250,2,0.40235400946955185,0.442,base,0.1,0.0,25.0,0.0,25.0
trec,random,250,2,0.40235400946955185,0.442,high,0.3,0.0,75.0,0.0,75.0
trec,random,500,2,0.6694209740043767,0.662,low,0.03,0.0,15.0,0.0,15.0
trec,random,500,2,0.6694209740043767,0.662,base,0.1,0.0,50.0,0.0,50.0
trec,random,500,2,0.6694209740043767,0.662,high,0.3,0.0,150.0,0.0,150.0
trec,random,1000,2,0.6217292810604247,0.736,low,0.03,0.0,30.0,0.0,30.0
trec,random,1000,2,0.6217292810604247,0.736,base,0.1,0.0,100.0,0.0,100.0
trec,random,1000,2,0.6217292810604247,0.736,high,0.3,0.0,300.0,0.0,300.0
trec,uncertainty_al,50,2,0.06274972687615075,0.152,low,0.03,0.002,1.5,0.1,1.6
trec,uncertainty_al,50,2,0.06274972687615075,0.152,base,0.1,0.002,5.0,0.1,5.1
trec,uncertainty_al,50,2,0.06274972687615075,0.152,high,0.3,0.002,15.0,0.1,15.1
trec,uncertainty_al,100,2,0.14881211743956843,0.218,low,0.03,0.002,3.0,0.2,3.2
trec,uncertainty_al,100,2,0.14881211743956843,0.218,base,0.1,0.002,10.0,0.2,10.2
trec,uncertainty_al,100,2,0.14881211743956843,0.218,high,0.3,0.002,30.0,0.2,30.2
trec,uncertainty_al,250,2,0.07749591033166768,0.186,low,0.03,0.002,7.5,0.5,8.0
trec,uncertainty_al,250,2,0.07749591033166768,0.186,base,0.1,0.002,25.0,0.5,25.5
trec,uncertainty_al,250,2,0.07749591033166768,0.186,high,0.3,0.002,75.0,0.5,75.5
trec,uncertainty_al,500,2,0.2357927003136584,0.448,low,0.03,0.002,15.0,1.0,16.0
trec,uncertainty_al,500,2,0.2357927003136584,0.448,base,0.1,0.002,50.0,1.0,51.0
trec,uncertainty_al,500,2,0.2357927003136584,0.448,high,0.3,0.002,150.0,1.0,151.0
trec,uncertainty_al,1000,2,0.5412605532866763,0.602,low,0.03,0.002,30.0,2.0,32.0
trec,uncertainty_al,1000,2,0.5412605532866763,0.602,base,0.1,0.002,100.0,2.0,102.0
trec,uncertainty_al,1000,2,0.5412605532866763,0.602,high,0.3,0.002,300.0,2.0,302.0
trec,diversity_al,50,2,0.10327358857425673,0.194,low,0.03,0.003,1.5,0.15,1.65
trec,diversity_al,50,2,0.10327358857425673,0.194,base,0.1,0.003,5.0,0.15,5.15
trec,diversity_al,50,2,0.10327358857425673,0.194,high,0.3,0.003,15.0,0.15,15.15
trec,diversity_al,100,2,0.1420550985768377,0.264,low,0.03,0.003,3.0,0.3,3.3
trec,diversity_al,100,2,0.1420550985768377,0.264,base,0.1,0.003,10.0,0.3,10.3
trec,diversity_al,100,2,0.1420550985768377,0.264,high,0.3,0.003,30.0,0.3,30.3
trec,diversity_al,250,2,0.29042625247895476,0.44,low,0.03,0.003,7.5,0.75,8.25
trec,diversity_al,250,2,0.29042625247895476,0.44,base,0.1,0.003,25.0,0.75,25.75
trec,diversity_al,250,2,0.29042625247895476,0.44,high,0.3,0.003,75.0,0.75,75.75
trec,diversity_al,500,2,0.30085090302463674,0.44,low,0.03,0.003,15.0,1.5,16.5
trec,diversity_al,500,2,0.30085090302463674,0.44,base,0.1,0.003,50.0,1.5,51.5
trec,diversity_al,500,2,0.30085090302463674,0.44,high,0.3,0.003,150.0,1.5,151.5
trec,diversity_al,1000,2,0.47740865143621686,0.578,low,0.03,0.003,30.0,3.0,33.0
trec,diversity_al,1000,2,0.47740865143621686,0.578,base,0.1,0.003,100.0,3.0,103.0
trec,diversity_al,1000,2,0.47740865143621686,0.578,high,0.3,0.003,300.0,3.0,303.0
trec,hybrid_al,50,2,0.12134196005552304,0.26,low,0.03,0.004,1.5,0.2,1.7
trec,hybrid_al,50,2,0.12134196005552304,0.26,base,0.1,0.004,5.0,0.2,5.2
trec,hybrid_al,50,2,0.12134196005552304,0.26,high,0.3,0.004,15.0,0.2,15.2
trec,hybrid_al,100,2,0.19918591501411817,0.274,low,0.03,0.004,3.0,0.4,3.4
trec,hybrid_al,100,2,0.19918591501411817,0.274,base,0.1,0.004,10.0,0.4,10.4
trec,hybrid_al,100,2,0.19918591501411817,0.274,high,0.3,0.004,30.0,0.4,30.4
trec,hybrid_al,250,2,0.2912647512774055,0.388,low,0.03,0.004,7.5,1.0,8.5
trec,hybrid_al,250,2,0.2912647512774055,0.388,base,0.1,0.004,25.0,1.0,26.0
trec,hybrid_al,250,2,0.2912647512774055,0.388,high,0.3,0.004,75.0,1.0,76.0
trec,hybrid_al,500,2,0.47219339121158715,0.6,low,0.03,0.004,15.0,2.0,17.0
trec,hybrid_al,500,2,0.47219339121158715,0.6,base,0.1,0.004,50.0,2.0,52.0
trec,hybrid_al,500,2,0.47219339121158715,0.6,high,0.3,0.004,150.0,2.0,152.0
trec,hybrid_al,1000,2,0.5236565019351905,0.636,low,0.03,0.004,30.0,4.0,34.0
trec,hybrid_al,1000,2,0.5236565019351905,0.636,base,0.1,0.004,100.0,4.0,104.0
trec,hybrid_al,1000,2,0.5236565019351905,0.636,high,0.3,0.004,300.0,4.0,304.0
