dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,mean_accuracy,mean_total_cost,n_seeds,cost_scenario
financial_phrasebank,sentence_transformer_logreg,diversity_al,100,0.2943,0.0455,0.6299,9.82,3,base
financial_phrasebank,sentence_transformer_logreg,diversity_al,50,0.2556,0.0035,0.6144,4.91,3,base
financial_phrasebank,tfidf_logreg,uncertainty_al,500,0.7567,0.0158,0.8337,48.6,3,base
financial_phrasebank,tfidf_logreg,hybrid_al,1000,0.7515,0.0031,0.8381,99.2,3,base
financial_phrasebank,tfidf_logreg,uncertainty_al,1000,0.7483,0.0099,0.8352,97.2,3,base
financial_phrasebank,tfidf_logreg,hybrid_al,500,0.7452,0.0074,0.83,49.6,3,base
financial_phrasebank,tfidf_logreg,random,1000,0.7123,0.0165,0.8146,95.2,3,base
financial_phrasebank,tfidf_logreg,diversity_al,1000,0.6529,0.0196,0.7962,98.2,3,base
financial_phrasebank,tfidf_logreg,random,500,0.6363,0.009,0.7837,47.6,3,base
financial_phrasebank,tfidf_logreg,hybrid_al,250,0.6337,0.076,0.7866,24.8,3,base
financial_phrasebank,tfidf_logreg,hybrid_al,100,0.5654,0.1149,0.7609,9.92,3,base
financial_phrasebank,tfidf_logreg,random,250,0.5646,0.0717,0.7447,23.8,3,base
financial_phrasebank,tfidf_logreg,uncertainty_al,250,0.5134,0.1674,0.518,24.3,3,base
financial_phrasebank,tfidf_logreg,random,100,0.4485,0.0423,0.699,9.52,3,base
financial_phrasebank,tfidf_logreg,hybrid_al,50,0.4325,0.0881,0.6696,4.96,3,base
financial_phrasebank,tfidf_logreg,random,50,0.412,0.1512,0.6718,4.76,3,base
financial_phrasebank,tfidf_logreg,uncertainty_al,100,0.4033,0.1861,0.4246,9.72,3,base
financial_phrasebank,tfidf_logreg,diversity_al,500,0.3037,0.04,0.6328,49.1,3,base
financial_phrasebank,tfidf_logreg,uncertainty_al,50,0.2755,0.0215,0.3996,4.86,3,base
financial_phrasebank,tfidf_logreg,diversity_al,250,0.2556,0.0035,0.6144,24.55,3,base
financial_phrasebank,tfidf_logreg,diversity_al,50,0.2535,0.0,0.6137,4.91,3,base
financial_phrasebank,tfidf_logreg,diversity_al,100,0.2535,0.0,0.6137,9.82,3,base
rotten_tomatoes,sentence_transformer_logreg,diversity_al,1000,0.7399,0.0044,0.74,98.2,3,base
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,1000,0.7398,0.0044,0.7403,97.2,3,base
rotten_tomatoes,sentence_transformer_logreg,random,1000,0.7362,0.0026,0.7363,95.2,3,base
rotten_tomatoes,sentence_transformer_logreg,random,500,0.7325,0.004,0.733,47.6,3,base
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,1000,0.7286,0.0069,0.7287,99.2,3,base
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,500,0.7244,0.0115,0.7253,48.6,3,base
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,500,0.7203,0.0154,0.7217,49.6,3,base
rotten_tomatoes,sentence_transformer_logreg,random,250,0.7125,0.0075,0.7133,23.8,3,base
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,250,0.7077,0.0106,0.7093,24.8,3,base
rotten_tomatoes,sentence_transformer_logreg,diversity_al,250,0.7026,0.0068,0.7057,24.55,3,base
rotten_tomatoes,sentence_transformer_logreg,diversity_al,500,0.6999,0.0048,0.7023,49.1,3,base
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,250,0.6885,0.0259,0.694,24.3,3,base
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,100,0.6729,0.0306,0.6783,9.92,3,base
rotten_tomatoes,sentence_transformer_logreg,diversity_al,100,0.6634,0.0528,0.6747,9.82,3,base
rotten_tomatoes,sentence_transformer_logreg,random,100,0.6575,0.03,0.6633,9.52,3,base
rotten_tomatoes,sentence_transformer_logreg,hybrid_al,50,0.5899,0.1085,0.621,4.96,3,base
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,100,0.5397,0.1473,0.6007,9.72,3,base
rotten_tomatoes,sentence_transformer_logreg,random,50,0.5188,0.1415,0.585,4.76,3,base
rotten_tomatoes,sentence_transformer_logreg,diversity_al,50,0.4456,0.0543,0.55,4.91,3,base
rotten_tomatoes,sentence_transformer_logreg,uncertainty_al,50,0.4196,0.0491,0.5337,4.86,3,base
rotten_tomatoes,tfidf_logreg,hybrid_al,1000,0.6834,0.0125,0.687,99.2,3,base
rotten_tomatoes,tfidf_logreg,diversity_al,1000,0.683,0.0087,0.6833,98.2,3,base
rotten_tomatoes,tfidf_logreg,random,1000,0.6749,0.0014,0.6763,95.2,3,base
rotten_tomatoes,tfidf_logreg,uncertainty_al,1000,0.649,0.027,0.6617,97.2,3,base
rotten_tomatoes,tfidf_logreg,random,500,0.6378,0.0134,0.6443,47.6,3,base
rotten_tomatoes,tfidf_logreg,diversity_al,500,0.6028,0.0329,0.6243,49.1,3,base
rotten_tomatoes,tfidf_logreg,random,250,0.5674,0.0498,0.59,23.8,3,base
rotten_tomatoes,tfidf_logreg,uncertainty_al,500,0.5511,0.0557,0.5943,48.6,3,base
rotten_tomatoes,tfidf_logreg,hybrid_al,100,0.5417,0.0607,0.5663,9.92,3,base
rotten_tomatoes,tfidf_logreg,diversity_al,250,0.5262,0.061,0.5767,24.55,3,base
rotten_tomatoes,tfidf_logreg,random,100,0.5139,0.0208,0.555,9.52,3,base
rotten_tomatoes,tfidf_logreg,uncertainty_al,250,0.5124,0.0717,0.571,24.3,3,base
rotten_tomatoes,tfidf_logreg,hybrid_al,500,0.5087,0.1222,0.577,49.6,3,base
rotten_tomatoes,tfidf_logreg,diversity_al,100,0.5079,0.0461,0.5483,9.82,3,base
rotten_tomatoes,tfidf_logreg,hybrid_al,250,0.4973,0.1001,0.5597,24.8,3,base
rotten_tomatoes,tfidf_logreg,hybrid_al,50,0.4468,0.0951,0.5217,4.96,3,base
rotten_tomatoes,tfidf_logreg,random,50,0.4052,0.1207,0.5157,4.76,3,base
rotten_tomatoes,tfidf_logreg,uncertainty_al,100,0.3604,0.045,0.502,9.72,3,base
rotten_tomatoes,tfidf_logreg,diversity_al,50,0.3338,0.0,0.501,4.91,3,base
rotten_tomatoes,tfidf_logreg,uncertainty_al,50,0.3338,0.0009,0.4997,4.86,3,base
sst2,sentence_transformer_logreg,hybrid_al,1000,0.8008,0.0053,0.801,99.2,3,base
sst2,sentence_transformer_logreg,uncertainty_al,1000,0.7983,0.0032,0.7983,97.2,3,base
sst2,sentence_transformer_logreg,random,1000,0.7976,0.0023,0.7977,95.2,3,base
sst2,sentence_transformer_logreg,hybrid_al,500,0.7944,0.0045,0.7947,49.6,3,base
sst2,sentence_transformer_logreg,diversity_al,1000,0.7933,0.0032,0.7933,98.2,3,base
sst2,sentence_transformer_logreg,uncertainty_al,500,0.7895,0.005,0.7903,48.6,3,base
sst2,sentence_transformer_logreg,random,500,0.7883,0.0073,0.7883,47.6,3,base
sst2,sentence_transformer_logreg,random,250,0.7796,0.0044,0.7797,23.8,3,base
sst2,sentence_transformer_logreg,diversity_al,500,0.7782,0.0041,0.7783,49.1,3,base
sst2,sentence_transformer_logreg,uncertainty_al,250,0.772,0.0107,0.7723,24.3,3,base
sst2,sentence_transformer_logreg,diversity_al,250,0.7625,0.0094,0.7637,24.55,3,base
sst2,sentence_transformer_logreg,hybrid_al,250,0.762,0.0175,0.7633,24.8,3,base
sst2,sentence_transformer_logreg,hybrid_al,100,0.7424,0.0147,0.744,9.92,3,base
sst2,sentence_transformer_logreg,diversity_al,100,0.7199,0.0096,0.7253,9.82,3,base
sst2,sentence_transformer_logreg,random,100,0.7078,0.0305,0.7117,9.52,3,base
sst2,sentence_transformer_logreg,uncertainty_al,100,0.703,0.0294,0.7117,9.72,3,base
sst2,sentence_transformer_logreg,diversity_al,50,0.6932,0.0311,0.7047,4.91,3,base
sst2,sentence_transformer_logreg,hybrid_al,50,0.6808,0.0488,0.688,4.96,3,base
sst2,sentence_transformer_logreg,random,50,0.5723,0.026,0.6127,4.76,3,base
sst2,sentence_transformer_logreg,uncertainty_al,50,0.4834,0.1723,0.5873,4.86,3,base
sst2,tfidf_logreg,uncertainty_al,1000,0.7056,0.0108,0.709,97.2,3,base
sst2,tfidf_logreg,random,1000,0.699,0.0081,0.7003,95.2,3,base
sst2,tfidf_logreg,diversity_al,1000,0.6986,0.0064,0.699,98.2,3,base
sst2,tfidf_logreg,hybrid_al,1000,0.6973,0.0056,0.703,99.2,3,base
sst2,tfidf_logreg,random,500,0.6525,0.0043,0.6553,47.6,3,base
sst2,tfidf_logreg,hybrid_al,500,0.6364,0.0324,0.6513,49.6,3,base
sst2,tfidf_logreg,diversity_al,500,0.6202,0.0145,0.632,49.1,3,base
sst2,tfidf_logreg,random,250,0.6155,0.0171,0.619,23.8,3,base
sst2,tfidf_logreg,diversity_al,250,0.6135,0.0278,0.6247,24.55,3,base
sst2,tfidf_logreg,uncertainty_al,500,0.5964,0.087,0.63,48.6,3,base
sst2,tfidf_logreg,diversity_al,100,0.5579,0.0522,0.582,9.82,3,base
sst2,tfidf_logreg,uncertainty_al,250,0.5524,0.0183,0.585,24.3,3,base
sst2,tfidf_logreg,hybrid_al,250,0.5439,0.0997,0.594,24.8,3,base
sst2,tfidf_logreg,hybrid_al,100,0.5276,0.042,0.5597,9.92,3,base
sst2,tfidf_logreg,hybrid_al,50,0.5063,0.0771,0.553,4.96,3,base
sst2,tfidf_logreg,random,100,0.4857,0.0638,0.5467,9.52,3,base
sst2,tfidf_logreg,uncertainty_al,100,0.4377,0.0773,0.5357,9.72,3,base
sst2,tfidf_logreg,diversity_al,50,0.4251,0.0929,0.5323,4.91,3,base
sst2,tfidf_logreg,random,50,0.3791,0.0642,0.4993,4.76,3,base
sst2,tfidf_logreg,uncertainty_al,50,0.359,0.0361,0.5077,4.86,3,base
trec,sentence_transformer_logreg,hybrid_al,1000,0.7233,0.0074,0.834,99.2,3,base
trec,sentence_transformer_logreg,uncertainty_al,1000,0.7154,0.0141,0.8153,97.2,3,base
trec,sentence_transformer_logreg,diversity_al,1000,0.7007,0.0043,0.8413,98.2,3,base
trec,sentence_transformer_logreg,random,1000,0.6939,0.0016,0.8327,95.2,3,base
trec,sentence_transformer_logreg,random,500,0.6689,0.0066,0.804,47.6,3,base
trec,sentence_transformer_logreg,diversity_al,500,0.6447,0.011,0.7793,49.1,3,base
trec,sentence_transformer_logreg,hybrid_al,500,0.6258,0.0147,0.7767,49.6,3,base
trec,sentence_transformer_logreg,uncertainty_al,500,0.6244,0.0389,0.7367,48.6,3,base
trec,sentence_transformer_logreg,random,250,0.6007,0.0556,0.7253,23.8,3,base
trec,sentence_transformer_logreg,hybrid_al,250,0.567,0.0191,0.7233,24.8,3,base
trec,sentence_transformer_logreg,diversity_al,250,0.5488,0.0156,0.67,24.55,3,base
trec,sentence_transformer_logreg,uncertainty_al,250,0.5245,0.0575,0.6373,24.3,3,base
trec,sentence_transformer_logreg,random,100,0.4839,0.0889,0.6053,9.52,3,base
trec,sentence_transformer_logreg,hybrid_al,100,0.3591,0.0775,0.4613,9.92,3,base
trec,sentence_transformer_logreg,diversity_al,100,0.3235,0.0225,0.428,9.82,3,base
trec,sentence_transformer_logreg,uncertainty_al,100,0.2269,0.125,0.392,9.72,3,base
trec,sentence_transformer_logreg,random,50,0.2256,0.0145,0.368,4.76,3,base
trec,sentence_transformer_logreg,diversity_al,50,0.1901,0.0373,0.31,4.91,3,base
trec,sentence_transformer_logreg,hybrid_al,50,0.1325,0.0586,0.2547,4.96,3,base
trec,sentence_transformer_logreg,uncertainty_al,50,0.102,0.0389,0.1907,4.86,3,base
trec,tfidf_logreg,hybrid_al,1000,0.7857,0.0016,0.7947,99.2,3,base
trec,tfidf_logreg,random,1000,0.771,0.0061,0.7733,95.2,3,base
trec,tfidf_logreg,uncertainty_al,1000,0.7203,0.0517,0.6907,97.2,3,base
trec,tfidf_logreg,random,500,0.6712,0.0749,0.7033,47.6,3,base
trec,tfidf_logreg,diversity_al,1000,0.637,0.0051,0.7487,98.2,3,base
trec,tfidf_logreg,uncertainty_al,500,0.5701,0.1384,0.5707,48.6,3,base
trec,tfidf_logreg,hybrid_al,500,0.554,0.0106,0.658,49.6,3,base
trec,tfidf_logreg,random,250,0.5281,0.0479,0.632,23.8,3,base
trec,tfidf_logreg,diversity_al,500,0.4793,0.0097,0.5833,49.1,3,base
trec,tfidf_logreg,hybrid_al,250,0.4559,0.0316,0.582,24.8,3,base
trec,tfidf_logreg,random,100,0.3725,0.0878,0.4707,9.52,3,base
trec,tfidf_logreg,uncertainty_al,250,0.3537,0.1073,0.4033,24.3,3,base
trec,tfidf_logreg,random,50,0.2795,0.0363,0.3733,4.76,3,base
trec,tfidf_logreg,diversity_al,250,0.2769,0.0179,0.4193,24.55,3,base
trec,tfidf_logreg,diversity_al,100,0.2648,0.0088,0.4273,9.82,3,base
trec,tfidf_logreg,hybrid_al,100,0.2223,0.0324,0.322,9.92,3,base
trec,tfidf_logreg,uncertainty_al,100,0.1629,0.0666,0.31,9.72,3,base
trec,tfidf_logreg,diversity_al,50,0.1599,0.0362,0.3053,4.91,3,base
trec,tfidf_logreg,hybrid_al,50,0.0853,0.0217,0.2193,4.96,3,base
trec,tfidf_logreg,uncertainty_al,50,0.0742,0.026,0.1793,4.86,3,base
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,1000,0.5813,0.0066,0.5793,99.2,3,base
tweet_eval_sentiment,sentence_transformer_logreg,random,1000,0.5773,0.0153,0.58,95.2,3,base
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,1000,0.5752,0.0045,0.575,97.2,3,base
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,1000,0.5739,0.0097,0.5757,98.2,3,base
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,500,0.5733,0.0077,0.5823,49.1,3,base
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,500,0.5523,0.0117,0.5647,49.6,3,base
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,500,0.5436,0.0354,0.5477,48.6,3,base
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,250,0.529,0.0264,0.559,24.55,3,base
tweet_eval_sentiment,sentence_transformer_logreg,random,500,0.5275,0.0415,0.5507,47.6,3,base
tweet_eval_sentiment,sentence_transformer_logreg,random,250,0.5202,0.0161,0.536,23.8,3,base
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,250,0.4993,0.0152,0.534,24.8,3,base
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,250,0.4605,0.0803,0.5163,24.3,3,base
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,100,0.4048,0.0336,0.4993,9.82,3,base
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,100,0.399,0.0383,0.4957,9.92,3,base
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,100,0.3696,0.0247,0.4683,9.72,3,base
