dataset,budget,seed,strategy,macro_f1,best_gold_macro_f1,macro_f1_gap_vs_best_gold,best_gold_strategy,accuracy,best_gold_accuracy,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,prompt_version
sst2,50,0,llm_annotator,0.3381866313699537,0.5623748188435296,-0.22418818747357588,hybrid_al,0.511,0.57,0.88,0.8663101604278074,0.068,0.8074010695187165,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,100,0,llm_annotator,0.3381866313699537,0.6008325492544122,-0.2626459178844585,diversity_al,0.511,0.608,0.88,0.8738965952080706,0.08,0.803984867591425,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,250,0,llm_annotator,0.3778620627589796,0.6525243057746055,-0.2746622430156259,hybrid_al,0.523,0.653,0.916,0.915403084161846,0.0797999999999999,0.8423539180457308,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,50,0,llm_annotator,0.2234278412856257,0.3054773891958393,-0.08204954791021357,random,0.41,0.356,0.56,0.458750580154089,0.268,0.3358054246727931,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,100,0,llm_annotator,0.2703162075673558,0.4704097449565052,-0.20009353738914942,random,0.442,0.568,0.59,0.6017856329134524,0.274,0.4368963694951664,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,250,0,llm_annotator,0.3415835306139274,0.4959209643108458,-0.15433743369691844,random,0.498,0.598,0.652,0.6476044225189558,0.2084,0.5126436608660053,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,50,0,llm_annotator,0.2081613938560293,0.2662259096015902,-0.0580645157455609,uncertainty_al,0.454,0.438,0.68,0.6732987865992793,0.098,0.6073155055125499,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,100,0,llm_annotator,0.2081613938560293,0.2842001687671165,-0.07603877491108721,hybrid_al,0.454,0.421,0.67,0.6531804858585394,0.1055,0.5842699446004634,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,250,0,llm_annotator,0.2143478225537759,0.3292138598326712,-0.1148660372788953,uncertainty_al,0.456,0.477,0.652,0.6445738169876102,0.1259999999999999,0.5633575160471713,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,50,0,llm_annotator,0.0302353616532721,0.0251795365918082,0.0050558250614639,random,0.0873586844809866,0.0760534429599177,0.64,0.5480158730158731,0.1479999999999999,0.4669095238095239,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,100,0,llm_annotator,0.0251282051282051,0.0577579911393659,-0.0326297860111608,random,0.0822199383350462,0.0986639260020555,0.67,0.6443965838083485,0.1299999999999999,0.5606250279132633,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,250,0,llm_annotator,0.0135856381937722,0.0822259288943587,-0.0686402907005865,diversity_al,0.0503597122302158,0.1253854059609455,0.648,0.6507130935730541,0.1423999999999999,0.5580515490482512,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,50,0,llm_annotator,0.4241809732000384,0.4005332450377103,0.023647728162328074,uncertainty_al,0.563,0.551,0.98,0.9799277398635088,0.072,0.909372942593336,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,100,0,llm_annotator,0.4101190547524032,0.6013210096973809,-0.19120195494497771,random,0.557,0.651,0.99,0.9898775179674056,0.0925,0.8983138475554205,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,250,0,llm_annotator,0.6809161054806564,0.6393089341807291,0.041607171299927304,diversity_al,0.714,0.684,0.972,0.9718010280539486,0.0832,0.89094718251986,gpt-4o-mini,text_classification_v1_zero_shot_json
