dataset,budget,seed,strategy,macro_f1,best_gold_macro_f1,macro_f1_gap_vs_best_gold,best_gold_strategy,accuracy,best_gold_accuracy,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,prompt_version
rotten_tomatoes,50,1,llm_annotator,0.3337774816788807,0.5446170229162726,-0.21083954123739185,random,0.501,0.545,0.9,0.8927498927498927,0.0659999999999999,0.8338283998283998,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,50,2,llm_annotator,0.4873608881390983,0.494012481025468,-0.006651592886369739,hybrid_al,0.529,0.532,0.96,0.96,0.105,0.8592,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,100,1,llm_annotator,0.3337774816788807,0.5700668238993711,-0.23628934222049042,hybrid_al,0.501,0.58,0.89,0.8826666666666667,0.0524999999999999,0.8363266666666667,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,100,2,llm_annotator,0.4403308370683639,0.582979565998734,-0.14264872893037012,hybrid_al,0.522,0.583,0.94,0.9396135265700484,0.0954999999999999,0.8498804347826088,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,250,1,llm_annotator,0.347756479940547,0.5838587641866331,-0.2361022842460861,random,0.505,0.604,0.884,0.8814022345454844,0.0847999999999999,0.8066593250560273,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,250,2,llm_annotator,0.5736793327154773,0.6102794066228456,-0.0366000739073683,hybrid_al,0.586,0.611,0.94,0.939952923091704,0.1003999999999999,0.8455816496132968,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,50,1,llm_annotator,0.3436646812631153,0.4183763977142192,-0.07471171645110392,hybrid_al,0.493,0.52,0.92,0.9178981937602628,0.0889999999999999,0.8362052545155993,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,50,2,llm_annotator,0.4829275782495405,0.5380091947961184,-0.055081616546577894,hybrid_al,0.542,0.569,0.92,0.9188311688311688,0.0909999999999999,0.8352175324675325,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,100,1,llm_annotator,0.4835758682380715,0.5757891480616788,-0.09221327982360727,hybrid_al,0.552,0.579,0.91,0.908452853219408,0.0674999999999999,0.847132285627098,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,100,2,llm_annotator,0.5642325531226405,0.5366261160131572,0.027606437109483295,random,0.596,0.574,0.91,0.9099189270343307,0.0809999999999999,0.8362154939445501,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,250,1,llm_annotator,0.6066316548244259,0.6377305179242665,-0.031098863099840557,diversity_al,0.618,0.641,0.916,0.9159986559784956,0.0937999999999999,0.8300779820477129,gpt-4o-mini,text_classification_v1_zero_shot_json
sst2,250,2,llm_annotator,0.5493629217628196,0.6126053793657166,-0.06324245760289693,random,0.603,0.614,0.932,0.9318680966350856,0.0968,0.8416632648808092,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,50,1,llm_annotator,0.1851989102313356,0.2380170484734823,-0.05281813824214668,random,0.382,0.398,0.7,0.6587391946025721,0.1619999999999999,0.5520234450769554,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,50,2,llm_annotator,0.1908266855776932,0.2948852755580788,-0.10405858998038561,random,0.382,0.366,0.62,0.5002471882338401,0.2419999999999998,0.3791873686812508,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,100,1,llm_annotator,0.1954517704517704,0.3459438683366134,-0.150492097884843,random,0.396,0.466,0.64,0.5928231533821596,0.2035000000000001,0.4721836416688901,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,100,2,llm_annotator,0.2235047038461242,0.3010054694114563,-0.07750076556533209,random,0.402,0.378,0.68,0.7210211702058574,0.1969999999999999,0.5789799996753036,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,250,1,llm_annotator,0.3831617429764307,0.5831910574514706,-0.2000293144750399,random,0.528,0.702,0.7,0.6830829282629485,0.1542,0.5777515407248018,gpt-4o-mini,text_classification_v1_zero_shot_json
trec,250,2,llm_annotator,0.2884775240721658,0.5051657566264963,-0.2166882325543305,random,0.456,0.596,0.72,0.7501102836164272,0.1286,0.6536461011433546,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,50,1,llm_annotator,0.2081613938560293,0.2633351301449221,-0.0551737362888928,uncertainty_al,0.454,0.442,0.76,0.747426940124709,0.0279999999999999,0.7264989858012172,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,50,2,llm_annotator,0.2081613938560293,0.2315942695165862,-0.023432875660556907,hybrid_al,0.454,0.421,0.68,0.6308382975049642,0.113,0.5595535698869033,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,100,1,llm_annotator,0.2081613938560293,0.2952493724352096,-0.0870879785791803,uncertainty_al,0.454,0.423,0.74,0.7320918075635058,0.0374999999999999,0.7046383647798743,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,100,2,llm_annotator,0.2081613938560293,0.2799872253048685,-0.07182583144883922,random,0.454,0.368,0.71,0.6901754919862041,0.075,0.6384123300872389,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,250,1,llm_annotator,0.2809752595671819,0.3059764810365472,-0.025001221469365287,random,0.462,0.4,0.676,0.6829460806077647,0.1115999999999999,0.6067292980119382,gpt-4o-mini,text_classification_v1_zero_shot_json
tweet_eval_sentiment,250,2,llm_annotator,0.2112676199943921,0.2994967019824147,-0.0882290819880226,uncertainty_al,0.455,0.379,0.676,0.67651516319118,0.1071999999999999,0.6039927376970855,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,50,1,llm_annotator,0.0278097438593375,0.0155438953128574,0.012265848546480098,diversity_al,0.0873586844809866,0.0575539568345323,0.62,0.5711904761904762,0.1929999999999998,0.4609507142857144,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,50,2,llm_annotator,0.0065728929571468,0.0199376947040498,-0.013364801746903,uncertainty_al,0.0369989722507708,0.065775950668037,0.58,0.5366666666666667,0.206,0.4261133333333333,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,100,1,llm_annotator,0.0111989038218546,0.0473335794901113,-0.0361346756682567,uncertainty_al,0.0452209660842754,0.0914696813977389,0.61,0.620436507936508,0.19,0.5025535714285714,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,100,2,llm_annotator,0.0277659502014445,0.0342128679182127,-0.0064469177167682,random,0.0688591983556012,0.0883864337101747,0.64,0.6485818021847434,0.1745,0.5354042777035056,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,250,1,llm_annotator,0.0043264503441494,0.1527701426795383,-0.1484436923353889,random,0.0452209660842754,0.2435765673175745,0.62,0.6326194101810605,0.1749999999999999,0.521911013399375,gpt-4o-mini,text_classification_v1_zero_shot_json
twenty_newsgroups,250,2,llm_annotator,0.0206971957099785,0.086335688383247,-0.06563849267326849,random,0.0524152106885919,0.1356628982528263,0.66,0.6698782708899312,0.156,0.5653772606311019,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,50,1,llm_annotator,0.3571663562619843,0.5364411230677247,-0.17927476680574045,diversity_al,0.533,0.579,1.0,1.0,0.097,0.903,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,50,2,llm_annotator,0.3455497382198952,0.579859241239717,-0.23430950301982179,uncertainty_al,0.528,0.638,0.98,0.9773857982813208,0.083,0.8962627770239711,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,100,1,llm_annotator,0.5501509171116787,0.7073538654934004,-0.15720294838172166,uncertainty_al,0.628,0.709,0.97,0.9698522761531504,0.072,0.9000229122701237,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,100,2,llm_annotator,0.3502220305146795,0.5319692281127454,-0.1817471975980659,random,0.53,0.588,0.98,0.979330301777594,0.0865,0.8946182306738322,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,250,1,llm_annotator,0.7792817018313402,0.7900265662040151,-0.010744864372674967,hybrid_al,0.787,0.793,0.976,0.9759753988083796,0.0814,0.8965310013453776,gpt-4o-mini,text_classification_v1_zero_shot_json
yelp_polarity,250,2,llm_annotator,0.5656249285567316,0.5872513899220745,-0.021626461365342853,random,0.639,0.651,0.968,0.9675934927733488,0.0727999999999998,0.8971526864994492,gpt-4o-mini,text_classification_v1_zero_shot_json
