dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
banking77,uncertainty_al,1000,0,0.15010671022565064,0.2133116883116883,low,0.03,0.002,30.0,2.0,32.0
banking77,uncertainty_al,1000,0,0.15010671022565064,0.2133116883116883,base,0.1,0.002,100.0,2.0,102.0
banking77,uncertainty_al,1000,0,0.15010671022565064,0.2133116883116883,high,0.3,0.002,300.0,2.0,302.0
banking77,diversity_al,50,0,0.01823244144672649,0.03279220779220779,low,0.03,0.003,1.5,0.15,1.65
banking77,diversity_al,50,0,0.01823244144672649,0.03279220779220779,base,0.1,0.003,5.0,0.15,5.15
banking77,diversity_al,50,0,0.01823244144672649,0.03279220779220779,high,0.3,0.003,15.0,0.15,15.15
banking77,diversity_al,100,0,0.04886780855642517,0.06233766233766234,low,0.03,0.003,3.0,0.3,3.3
banking77,diversity_al,100,0,0.04886780855642517,0.06233766233766234,base,0.1,0.003,10.0,0.3,10.3
banking77,diversity_al,100,0,0.04886780855642517,0.06233766233766234,high,0.3,0.003,30.0,0.3,30.3
banking77,diversity_al,250,0,0.08710661597940768,0.1146103896103896,low,0.03,0.003,7.5,0.75,8.25
banking77,diversity_al,250,0,0.08710661597940768,0.1146103896103896,base,0.1,0.003,25.0,0.75,25.75
banking77,diversity_al,250,0,0.08710661597940768,0.1146103896103896,high,0.3,0.003,75.0,0.75,75.75
banking77,diversity_al,500,0,0.1603712712048086,0.18279220779220778,low,0.03,0.003,15.0,1.5,16.5
banking77,diversity_al,500,0,0.1603712712048086,0.18279220779220778,base,0.1,0.003,50.0,1.5,51.5
banking77,diversity_al,500,0,0.1603712712048086,0.18279220779220778,high,0.3,0.003,150.0,1.5,151.5
banking77,diversity_al,1000,0,0.33372783552700613,0.3737012987012987,low,0.03,0.003,30.0,3.0,33.0
banking77,diversity_al,1000,0,0.33372783552700613,0.3737012987012987,base,0.1,0.003,100.0,3.0,103.0
banking77,diversity_al,1000,0,0.33372783552700613,0.3737012987012987,high,0.3,0.003,300.0,3.0,303.0
banking77,hybrid_al,50,0,0.008958709711827323,0.021753246753246754,low,0.03,0.004,1.5,0.2,1.7
banking77,hybrid_al,50,0,0.008958709711827323,0.021753246753246754,base,0.1,0.004,5.0,0.2,5.2
banking77,hybrid_al,50,0,0.008958709711827323,0.021753246753246754,high,0.3,0.004,15.0,0.2,15.2
banking77,hybrid_al,100,0,0.019838507139383278,0.04512987012987013,low,0.03,0.004,3.0,0.4,3.4
banking77,hybrid_al,100,0,0.019838507139383278,0.04512987012987013,base,0.1,0.004,10.0,0.4,10.4
banking77,hybrid_al,100,0,0.019838507139383278,0.04512987012987013,high,0.3,0.004,30.0,0.4,30.4
banking77,hybrid_al,250,0,0.06865552101512828,0.10097402597402598,low,0.03,0.004,7.5,1.0,8.5
banking77,hybrid_al,250,0,0.06865552101512828,0.10097402597402598,base,0.1,0.004,25.0,1.0,26.0
banking77,hybrid_al,250,0,0.06865552101512828,0.10097402597402598,high,0.3,0.004,75.0,1.0,76.0
banking77,hybrid_al,500,0,0.041791305193609116,0.06883116883116883,low,0.03,0.004,15.0,2.0,17.0
banking77,hybrid_al,500,0,0.041791305193609116,0.06883116883116883,base,0.1,0.004,50.0,2.0,52.0
banking77,hybrid_al,500,0,0.041791305193609116,0.06883116883116883,high,0.3,0.004,150.0,2.0,152.0
banking77,hybrid_al,1000,0,0.12261774680206372,0.16623376623376623,low,0.03,0.004,30.0,4.0,34.0
banking77,hybrid_al,1000,0,0.12261774680206372,0.16623376623376623,base,0.1,0.004,100.0,4.0,104.0
banking77,hybrid_al,1000,0,0.12261774680206372,0.16623376623376623,high,0.3,0.004,300.0,4.0,304.0
banking77,random,50,1,0.009686721157737733,0.02792207792207792,low,0.03,0.0,1.5,0.0,1.5
banking77,random,50,1,0.009686721157737733,0.02792207792207792,base,0.1,0.0,5.0,0.0,5.0
banking77,random,50,1,0.009686721157737733,0.02792207792207792,high,0.3,0.0,15.0,0.0,15.0
banking77,random,100,1,0.05697167206658569,0.06655844155844155,low,0.03,0.0,3.0,0.0,3.0
banking77,random,100,1,0.05697167206658569,0.06655844155844155,base,0.1,0.0,10.0,0.0,10.0
banking77,random,100,1,0.05697167206658569,0.06655844155844155,high,0.3,0.0,30.0,0.0,30.0
banking77,random,250,1,0.09521006496970225,0.11623376623376623,low,0.03,0.0,7.5,0.0,7.5
banking77,random,250,1,0.09521006496970225,0.11623376623376623,base,0.1,0.0,25.0,0.0,25.0
banking77,random,250,1,0.09521006496970225,0.11623376623376623,high,0.3,0.0,75.0,0.0,75.0
banking77,random,500,1,0.2589023274112183,0.29967532467532465,low,0.03,0.0,15.0,0.0,15.0
banking77,random,500,1,0.2589023274112183,0.29967532467532465,base,0.1,0.0,50.0,0.0,50.0
banking77,random,500,1,0.2589023274112183,0.29967532467532465,high,0.3,0.0,150.0,0.0,150.0
banking77,random,1000,1,0.46703996419674604,0.48993506493506495,low,0.03,0.0,30.0,0.0,30.0
banking77,random,1000,1,0.46703996419674604,0.48993506493506495,base,0.1,0.0,100.0,0.0,100.0
banking77,random,1000,1,0.46703996419674604,0.48993506493506495,high,0.3,0.0,300.0,0.0,300.0
banking77,uncertainty_al,50,1,0.012061756953693726,0.028246753246753246,low,0.03,0.002,1.5,0.1,1.6
banking77,uncertainty_al,50,1,0.012061756953693726,0.028246753246753246,base,0.1,0.002,5.0,0.1,5.1
banking77,uncertainty_al,50,1,0.012061756953693726,0.028246753246753246,high,0.3,0.002,15.0,0.1,15.1
banking77,uncertainty_al,100,1,0.03347298265864995,0.057467532467532466,low,0.03,0.002,3.0,0.2,3.2
banking77,uncertainty_al,100,1,0.03347298265864995,0.057467532467532466,base,0.1,0.002,10.0,0.2,10.2
banking77,uncertainty_al,100,1,0.03347298265864995,0.057467532467532466,high,0.3,0.002,30.0,0.2,30.2
banking77,uncertainty_al,250,1,0.07951303931044004,0.1172077922077922,low,0.03,0.002,7.5,0.5,8.0
banking77,uncertainty_al,250,1,0.07951303931044004,0.1172077922077922,base,0.1,0.002,25.0,0.5,25.5
banking77,uncertainty_al,250,1,0.07951303931044004,0.1172077922077922,high,0.3,0.002,75.0,0.5,75.5
banking77,uncertainty_al,500,1,0.07918701146037457,0.1357142857142857,low,0.03,0.002,15.0,1.0,16.0
banking77,uncertainty_al,500,1,0.07918701146037457,0.1357142857142857,base,0.1,0.002,50.0,1.0,51.0
banking77,uncertainty_al,500,1,0.07918701146037457,0.1357142857142857,high,0.3,0.002,150.0,1.0,151.0
banking77,uncertainty_al,1000,1,0.19018805472768657,0.25746753246753246,low,0.03,0.002,30.0,2.0,32.0
banking77,uncertainty_al,1000,1,0.19018805472768657,0.25746753246753246,base,0.1,0.002,100.0,2.0,102.0
banking77,uncertainty_al,1000,1,0.19018805472768657,0.25746753246753246,high,0.3,0.002,300.0,2.0,302.0
banking77,diversity_al,50,1,0.026433508387072414,0.05389610389610389,low,0.03,0.003,1.5,0.15,1.65
banking77,diversity_al,50,1,0.026433508387072414,0.05389610389610389,base,0.1,0.003,5.0,0.15,5.15
banking77,diversity_al,50,1,0.026433508387072414,0.05389610389610389,high,0.3,0.003,15.0,0.15,15.15
banking77,diversity_al,100,1,0.04560826552341771,0.05779220779220779,low,0.03,0.003,3.0,0.3,3.3
banking77,diversity_al,100,1,0.04560826552341771,0.05779220779220779,base,0.1,0.003,10.0,0.3,10.3
banking77,diversity_al,100,1,0.04560826552341771,0.05779220779220779,high,0.3,0.003,30.0,0.3,30.3
banking77,diversity_al,250,1,0.1297384010947433,0.15194805194805194,low,0.03,0.003,7.5,0.75,8.25
banking77,diversity_al,250,1,0.1297384010947433,0.15194805194805194,base,0.1,0.003,25.0,0.75,25.75
banking77,diversity_al,250,1,0.1297384010947433,0.15194805194805194,high,0.3,0.003,75.0,0.75,75.75
banking77,diversity_al,500,1,0.17110265460635948,0.18474025974025973,low,0.03,0.003,15.0,1.5,16.5
banking77,diversity_al,500,1,0.17110265460635948,0.18474025974025973,base,0.1,0.003,50.0,1.5,51.5
banking77,diversity_al,500,1,0.17110265460635948,0.18474025974025973,high,0.3,0.003,150.0,1.5,151.5
banking77,diversity_al,1000,1,0.34233878753053837,0.38506493506493505,low,0.03,0.003,30.0,3.0,33.0
banking77,diversity_al,1000,1,0.34233878753053837,0.38506493506493505,base,0.1,0.003,100.0,3.0,103.0
banking77,diversity_al,1000,1,0.34233878753053837,0.38506493506493505,high,0.3,0.003,300.0,3.0,303.0
banking77,hybrid_al,50,1,0.0073428581709627195,0.021103896103896104,low,0.03,0.004,1.5,0.2,1.7
banking77,hybrid_al,50,1,0.0073428581709627195,0.021103896103896104,base,0.1,0.004,5.0,0.2,5.2
banking77,hybrid_al,50,1,0.0073428581709627195,0.021103896103896104,high,0.3,0.004,15.0,0.2,15.2
banking77,hybrid_al,100,1,0.031097569144492136,0.05551948051948052,low,0.03,0.004,3.0,0.4,3.4
banking77,hybrid_al,100,1,0.031097569144492136,0.05551948051948052,base,0.1,0.004,10.0,0.4,10.4
banking77,hybrid_al,100,1,0.031097569144492136,0.05551948051948052,high,0.3,0.004,30.0,0.4,30.4
banking77,hybrid_al,250,1,0.022284037649942866,0.03896103896103896,low,0.03,0.004,7.5,1.0,8.5
banking77,hybrid_al,250,1,0.022284037649942866,0.03896103896103896,base,0.1,0.004,25.0,1.0,26.0
banking77,hybrid_al,250,1,0.022284037649942866,0.03896103896103896,high,0.3,0.004,75.0,1.0,76.0
banking77,hybrid_al,500,1,0.05213567619159988,0.09772727272727273,low,0.03,0.004,15.0,2.0,17.0
banking77,hybrid_al,500,1,0.05213567619159988,0.09772727272727273,base,0.1,0.004,50.0,2.0,52.0
banking77,hybrid_al,500,1,0.05213567619159988,0.09772727272727273,high,0.3,0.004,150.0,2.0,152.0
banking77,hybrid_al,1000,1,0.17006375147383693,0.20324675324675326,low,0.03,0.004,30.0,4.0,34.0
banking77,hybrid_al,1000,1,0.17006375147383693,0.20324675324675326,base,0.1,0.004,100.0,4.0,104.0
banking77,hybrid_al,1000,1,0.17006375147383693,0.20324675324675326,high,0.3,0.004,300.0,4.0,304.0
banking77,random,50,2,0.020355451410559753,0.04155844155844156,low,0.03,0.0,1.5,0.0,1.5
banking77,random,50,2,0.020355451410559753,0.04155844155844156,base,0.1,0.0,5.0,0.0,5.0
banking77,random,50,2,0.020355451410559753,0.04155844155844156,high,0.3,0.0,15.0,0.0,15.0
banking77,random,100,2,0.053089164193954284,0.08961038961038961,low,0.03,0.0,3.0,0.0,3.0
banking77,random,100,2,0.053089164193954284,0.08961038961038961,base,0.1,0.0,10.0,0.0,10.0
banking77,random,100,2,0.053089164193954284,0.08961038961038961,high,0.3,0.0,30.0,0.0,30.0
banking77,random,250,2,0.11809313481324386,0.16006493506493508,low,0.03,0.0,7.5,0.0,7.5
banking77,random,250,2,0.11809313481324386,0.16006493506493508,base,0.1,0.0,25.0,0.0,25.0
banking77,random,250,2,0.11809313481324386,0.16006493506493508,high,0.3,0.0,75.0,0.0,75.0
banking77,random,500,2,0.22027476314959002,0.2711038961038961,low,0.03,0.0,15.0,0.0,15.0
banking77,random,500,2,0.22027476314959002,0.2711038961038961,base,0.1,0.0,50.0,0.0,50.0
banking77,random,500,2,0.22027476314959002,0.2711038961038961,high,0.3,0.0,150.0,0.0,150.0
banking77,random,1000,2,0.4241554996313139,0.4649350649350649,low,0.03,0.0,30.0,0.0,30.0
banking77,random,1000,2,0.4241554996313139,0.4649350649350649,base,0.1,0.0,100.0,0.0,100.0
banking77,random,1000,2,0.4241554996313139,0.4649350649350649,high,0.3,0.0,300.0,0.0,300.0
banking77,uncertainty_al,50,2,0.015002960679793979,0.02727272727272727,low,0.03,0.002,1.5,0.1,1.6
banking77,uncertainty_al,50,2,0.015002960679793979,0.02727272727272727,base,0.1,0.002,5.0,0.1,5.1
banking77,uncertainty_al,50,2,0.015002960679793979,0.02727272727272727,high,0.3,0.002,15.0,0.1,15.1
banking77,uncertainty_al,100,2,0.03196387812982413,0.05454545454545454,low,0.03,0.002,3.0,0.2,3.2
banking77,uncertainty_al,100,2,0.03196387812982413,0.05454545454545454,base,0.1,0.002,10.0,0.2,10.2
banking77,uncertainty_al,100,2,0.03196387812982413,0.05454545454545454,high,0.3,0.002,30.0,0.2,30.2
banking77,uncertainty_al,250,2,0.026382303034674138,0.04155844155844156,low,0.03,0.002,7.5,0.5,8.0
banking77,uncertainty_al,250,2,0.026382303034674138,0.04155844155844156,base,0.1,0.002,25.0,0.5,25.5
banking77,uncertainty_al,250,2,0.026382303034674138,0.04155844155844156,high,0.3,0.002,75.0,0.5,75.5
banking77,uncertainty_al,500,2,0.13780203832534826,0.18798701298701298,low,0.03,0.002,15.0,1.0,16.0
banking77,uncertainty_al,500,2,0.13780203832534826,0.18798701298701298,base,0.1,0.002,50.0,1.0,51.0
banking77,uncertainty_al,500,2,0.13780203832534826,0.18798701298701298,high,0.3,0.002,150.0,1.0,151.0
banking77,uncertainty_al,1000,2,0.13459730700377429,0.2051948051948052,low,0.03,0.002,30.0,2.0,32.0
banking77,uncertainty_al,1000,2,0.13459730700377429,0.2051948051948052,base,0.1,0.002,100.0,2.0,102.0
banking77,uncertainty_al,1000,2,0.13459730700377429,0.2051948051948052,high,0.3,0.002,300.0,2.0,302.0
banking77,diversity_al,50,2,0.027395929554018372,0.05194805194805195,low,0.03,0.003,1.5,0.15,1.65
banking77,diversity_al,50,2,0.027395929554018372,0.05194805194805195,base,0.1,0.003,5.0,0.15,5.15
banking77,diversity_al,50,2,0.027395929554018372,0.05194805194805195,high,0.3,0.003,15.0,0.15,15.15
banking77,diversity_al,100,2,0.021802387286798036,0.03603896103896104,low,0.03,0.003,3.0,0.3,3.3
banking77,diversity_al,100,2,0.021802387286798036,0.03603896103896104,base,0.1,0.003,10.0,0.3,10.3
banking77,diversity_al,100,2,0.021802387286798036,0.03603896103896104,high,0.3,0.003,30.0,0.3,30.3
banking77,diversity_al,250,2,0.08333993014811406,0.08474025974025974,low,0.03,0.003,7.5,0.75,8.25
banking77,diversity_al,250,2,0.08333993014811406,0.08474025974025974,base,0.1,0.003,25.0,0.75,25.75
banking77,diversity_al,250,2,0.08333993014811406,0.08474025974025974,high,0.3,0.003,75.0,0.75,75.75
banking77,diversity_al,500,2,0.13690117678598576,0.15811688311688313,low,0.03,0.003,15.0,1.5,16.5
banking77,diversity_al,500,2,0.13690117678598576,0.15811688311688313,base,0.1,0.003,50.0,1.5,51.5
banking77,diversity_al,500,2,0.13690117678598576,0.15811688311688313,high,0.3,0.003,150.0,1.5,151.5
banking77,diversity_al,1000,2,0.3151683211780539,0.3516233766233766,low,0.03,0.003,30.0,3.0,33.0
banking77,diversity_al,1000,2,0.3151683211780539,0.3516233766233766,base,0.1,0.003,100.0,3.0,103.0
banking77,diversity_al,1000,2,0.3151683211780539,0.3516233766233766,high,0.3,0.003,300.0,3.0,303.0
banking77,hybrid_al,50,2,0.0047229088587076576,0.019155844155844155,low,0.03,0.004,1.5,0.2,1.7
banking77,hybrid_al,50,2,0.0047229088587076576,0.019155844155844155,base,0.1,0.004,5.0,0.2,5.2
banking77,hybrid_al,50,2,0.0047229088587076576,0.019155844155844155,high,0.3,0.004,15.0,0.2,15.2
banking77,hybrid_al,100,2,0.007771827629923894,0.023376623376623377,low,0.03,0.004,3.0,0.4,3.4
banking77,hybrid_al,100,2,0.007771827629923894,0.023376623376623377,base,0.1,0.004,10.0,0.4,10.4
banking77,hybrid_al,100,2,0.007771827629923894,0.023376623376623377,high,0.3,0.004,30.0,0.4,30.4
banking77,hybrid_al,250,2,0.0664706333250072,0.09480519480519481,low,0.03,0.004,7.5,1.0,8.5
banking77,hybrid_al,250,2,0.0664706333250072,0.09480519480519481,base,0.1,0.004,25.0,1.0,26.0
banking77,hybrid_al,250,2,0.0664706333250072,0.09480519480519481,high,0.3,0.004,75.0,1.0,76.0
banking77,hybrid_al,500,2,0.05511005491172099,0.09155844155844156,low,0.03,0.004,15.0,2.0,17.0
banking77,hybrid_al,500,2,0.05511005491172099,0.09155844155844156,base,0.1,0.004,50.0,2.0,52.0
banking77,hybrid_al,500,2,0.05511005491172099,0.09155844155844156,high,0.3,0.004,150.0,2.0,152.0
banking77,hybrid_al,1000,2,0.20847493224892846,0.2551948051948052,low,0.03,0.004,30.0,4.0,34.0
banking77,hybrid_al,1000,2,0.20847493224892846,0.2551948051948052,base,0.1,0.004,100.0,4.0,104.0
banking77,hybrid_al,1000,2,0.20847493224892846,0.2551948051948052,high,0.3,0.004,300.0,4.0,304.0
