dataset_name,split,metric,group_key,group_value,estimate,ci_lower,ci_upper,n_examples,n_annotators,n_resamples,notes
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep1 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
trec,test,accuracy,overall,all,0.7916666666666666,0.7866666666666666,0.7966666666666666,100,6,1000,
trec,test,macro_f1,overall,all,0.56153032378143,0.5531863217621731,0.5738818171905503,100,6,1000,
trec,test,ece,overall,all,0.08441666666666664,0.06816666666666667,0.09849999999999995,100,6,1000,
trec,test,lari,overall,all,0.5141278056155476,0.5048170220485061,0.5226123325419733,100,6,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep1,0.9764326031368205,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep2,0.9646730490691348,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep0,0.9764509178254778,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep1,0.9646730490691348,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep2,0.9882174123080911,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0.7_rep2,0.9764581248896474,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep0,0.9646892655367232,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep1,0.9764581248896474,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep2,0.9882215757176005,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep0,0.988238199974124,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep2,0.9646892655367232,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep1,0.988238199974124,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep2,0.9764614497393105,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep1 vs gpt-4o-mini_temp0_rep2,0.9646892655367232,,,100,2,1000,
tweet_eval_sentiment,test,accuracy,overall,all,0.7816666666666666,0.78,0.785,100,6,1000,
tweet_eval_sentiment,test,macro_f1,overall,all,0.7657209948213609,0.7637650948821162,0.7684316782785668,100,6,1000,
tweet_eval_sentiment,test,ece,overall,all,0.02641666666666667,0.012333333333333321,0.04242291666666666,100,6,1000,
tweet_eval_sentiment,test,lari,overall,all,0.7454931985414966,0.734213656987971,0.755687046812539,100,6,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep1,0.9432201284644594,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep2,0.9572999323915595,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep0,0.9715059125231514,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep1,0.9715059125231514,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep2,0.9715059125231514,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0.7_rep2,0.9574603849835158,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep0,0.9716100642322296,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep1,0.9716100642322296,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep2,0.9716100642322296,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep0,0.9857666441305198,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep1,0.9857666441305198,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep2,0.9857666441305198,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
tweet_eval_sentiment,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep1 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
