dataset,seed,pool_position,dataset_index,example_id,length_stratum,approx_text_tokens,population_size
banking77,0,185,520,banking77_train_520,medium,11,250
banking77,0,194,704,banking77_train_704,medium,11,250
banking77,0,199,652,banking77_train_652,medium,9,250
banking77,0,211,799,banking77_train_799,short,7,250
banking77,0,222,515,banking77_train_515,short,7,250
banking77,0,243,830,banking77_train_830,long,38,250
ag_news,0,1,1023,ag_news_train_1023,short,34,250
ag_news,0,2,137,ag_news_train_137,long,53,250
ag_news,0,4,107,ag_news_train_107,long,59,250
ag_news,0,5,888,ag_news_train_888,medium,38,250
ag_news,0,9,651,ag_news_train_651,short,34,250
ag_news,0,13,684,ag_news_train_684,medium,35,250
ag_news,0,15,296,ag_news_train_296,short,30,250
ag_news,0,32,533,ag_news_train_533,long,43,250
ag_news,0,33,693,ag_news_train_693,short,33,250
ag_news,0,60,524,ag_news_train_524,short,30,250
ag_news,0,61,161,ag_news_train_161,medium,40,250
ag_news,0,66,159,ag_news_train_159,short,33,250
ag_news,0,86,332,ag_news_train_332,long,63,250
ag_news,0,87,252,ag_news_train_252,long,52,250
ag_news,0,92,874,ag_news_train_874,long,47,250
ag_news,0,100,656,ag_news_train_656,medium,36,250
ag_news,0,118,988,ag_news_train_988,short,30,250
ag_news,0,124,479,ag_news_train_479,long,45,250
ag_news,0,141,52,ag_news_train_52,medium,42,250
ag_news,0,151,28,ag_news_train_28,short,30,250
ag_news,0,155,953,ag_news_train_953,long,52,250
ag_news,0,156,668,ag_news_train_668,medium,41,250
ag_news,0,161,541,ag_news_train_541,long,52,250
ag_news,0,183,72,ag_news_train_72,medium,42,250
ag_news,0,186,208,ag_news_train_208,medium,42,250
ag_news,0,188,964,ag_news_train_964,short,27,250
ag_news,0,198,606,ag_news_train_606,short,28,250
ag_news,0,207,1145,ag_news_train_1145,medium,39,250
ag_news,0,208,1184,ag_news_train_1184,medium,39,250
ag_news,0,242,513,ag_news_train_513,long,44,250
sst2,0,0,807,sst2_train_807,medium,19,250
sst2,0,3,246,sst2_train_246,long,28,250
sst2,0,5,888,sst2_train_888,short,14,250
sst2,0,7,448,sst2_train_448,long,25,250
sst2,0,10,752,sst2_train_752,medium,21,250
sst2,0,12,912,sst2_train_912,short,7,250
sst2,0,19,673,sst2_train_673,short,4,250
sst2,0,25,213,sst2_train_213,long,30,250
sst2,0,54,1131,sst2_train_1131,short,3,250
sst2,0,62,1089,sst2_train_1089,medium,21,250
sst2,0,70,1117,sst2_train_1117,short,14,250
sst2,0,79,836,sst2_train_836,long,32,250
sst2,0,83,5,sst2_train_5,short,14,250
sst2,0,95,1017,sst2_train_1017,long,25,250
sst2,0,96,1196,sst2_train_1196,medium,24,250
sst2,0,101,1155,sst2_train_1155,long,31,250
sst2,0,118,988,sst2_train_988,short,5,250
sst2,0,129,83,sst2_train_83,long,27,250
sst2,0,137,397,sst2_train_397,short,15,250
sst2,0,148,951,sst2_train_951,medium,18,250
sst2,0,152,32,sst2_train_32,long,36,250
sst2,0,153,780,sst2_train_780,long,32,250
sst2,0,167,590,sst2_train_590,medium,22,250
sst2,0,194,704,sst2_train_704,short,10,250
sst2,0,196,317,sst2_train_317,medium,20,250
sst2,0,201,626,sst2_train_626,medium,15,250
sst2,0,202,744,sst2_train_744,short,12,250
sst2,0,215,39,sst2_train_39,medium,23,250
sst2,0,216,969,sst2_train_969,medium,16,250
sst2,0,241,93,sst2_train_93,long,34,250
twenty_newsgroups,0,1,1001,twenty_newsgroups_train_1001,medium,81,250
twenty_newsgroups,0,2,134,twenty_newsgroups_train_134,short,16,250
twenty_newsgroups,0,5,868,twenty_newsgroups_train_868,short,43,250
twenty_newsgroups,0,7,439,twenty_newsgroups_train_439,long,224,250
twenty_newsgroups,0,10,736,twenty_newsgroups_train_736,medium,113,250
twenty_newsgroups,0,11,360,twenty_newsgroups_train_360,long,403,250
twenty_newsgroups,0,14,473,twenty_newsgroups_train_473,short,19,250
twenty_newsgroups,0,28,595,twenty_newsgroups_train_595,short,42,250
twenty_newsgroups,0,31,656,twenty_newsgroups_train_656,long,145,250
twenty_newsgroups,0,42,731,twenty_newsgroups_train_731,short,3,250
twenty_newsgroups,0,58,1159,twenty_newsgroups_train_1159,short,49,250
twenty_newsgroups,0,71,805,twenty_newsgroups_train_805,medium,65,250
twenty_newsgroups,0,88,1150,twenty_newsgroups_train_1150,short,46,250
twenty_newsgroups,0,95,995,twenty_newsgroups_train_995,medium,89,250
twenty_newsgroups,0,115,612,twenty_newsgroups_train_612,long,3676,250
twenty_newsgroups,0,119,1091,twenty_newsgroups_train_1091,long,120,250
twenty_newsgroups,0,123,1123,twenty_newsgroups_train_1123,short,11,250
twenty_newsgroups,0,126,166,twenty_newsgroups_train_166,long,202,250
twenty_newsgroups,0,141,51,twenty_newsgroups_train_51,long,492,250
twenty_newsgroups,0,143,1147,twenty_newsgroups_train_1147,medium,70,250
twenty_newsgroups,0,159,809,twenty_newsgroups_train_809,medium,94,250
twenty_newsgroups,0,170,402,twenty_newsgroups_train_402,short,32,250
twenty_newsgroups,0,171,962,twenty_newsgroups_train_962,long,134,250
twenty_newsgroups,0,172,1164,twenty_newsgroups_train_1164,long,195,250
twenty_newsgroups,0,193,46,twenty_newsgroups_train_46,short,25,250
twenty_newsgroups,0,199,637,twenty_newsgroups_train_637,medium,86,250
twenty_newsgroups,0,204,1095,twenty_newsgroups_train_1095,medium,89,250
twenty_newsgroups,0,215,38,twenty_newsgroups_train_38,medium,112,250
twenty_newsgroups,0,216,949,twenty_newsgroups_train_949,medium,77,250
twenty_newsgroups,0,246,839,twenty_newsgroups_train_839,long,526,250
rotten_tomatoes,0,0,807,rotten_tomatoes_train_807,long,31,250
rotten_tomatoes,0,1,1023,rotten_tomatoes_train_1023,medium,23,250
rotten_tomatoes,0,4,107,rotten_tomatoes_train_107,short,14,250
rotten_tomatoes,0,5,888,rotten_tomatoes_train_888,medium,23,250
rotten_tomatoes,0,7,448,rotten_tomatoes_train_448,short,7,250
rotten_tomatoes,0,15,296,rotten_tomatoes_train_296,long,36,250
rotten_tomatoes,0,16,215,rotten_tomatoes_train_215,short,8,250
rotten_tomatoes,0,32,533,rotten_tomatoes_train_533,short,14,250
rotten_tomatoes,0,36,526,rotten_tomatoes_train_526,long,48,250
rotten_tomatoes,0,49,333,rotten_tomatoes_train_333,short,16,250
rotten_tomatoes,0,53,382,rotten_tomatoes_train_382,short,5,250
rotten_tomatoes,0,73,1051,rotten_tomatoes_train_1051,medium,19,250
rotten_tomatoes,0,97,546,rotten_tomatoes_train_546,medium,22,250
rotten_tomatoes,0,102,1093,rotten_tomatoes_train_1093,long,34,250
rotten_tomatoes,0,105,691,rotten_tomatoes_train_691,short,14,250
rotten_tomatoes,0,109,257,rotten_tomatoes_train_257,long,26,250
rotten_tomatoes,0,120,926,rotten_tomatoes_train_926,long,31,250
rotten_tomatoes,0,130,237,rotten_tomatoes_train_237,short,10,250
rotten_tomatoes,0,134,907,rotten_tomatoes_train_907,medium,22,250
rotten_tomatoes,0,140,1181,rotten_tomatoes_train_1181,long,37,250
rotten_tomatoes,0,154,998,rotten_tomatoes_train_998,medium,25,250
rotten_tomatoes,0,161,541,rotten_tomatoes_train_541,long,39,250
rotten_tomatoes,0,167,590,rotten_tomatoes_train_590,long,45,250
rotten_tomatoes,0,185,520,rotten_tomatoes_train_520,medium,24,250
rotten_tomatoes,0,187,55,rotten_tomatoes_train_55,short,15,250
rotten_tomatoes,0,190,462,rotten_tomatoes_train_462,medium,19,250
rotten_tomatoes,0,204,86,rotten_tomatoes_train_86,short,6,250
rotten_tomatoes,0,210,1035,rotten_tomatoes_train_1035,medium,17,250
rotten_tomatoes,0,212,1192,rotten_tomatoes_train_1192,medium,21,250
rotten_tomatoes,0,238,556,rotten_tomatoes_train_556,long,35,250
yelp_polarity,0,0,807,yelp_polarity_train_807,medium,71,250
yelp_polarity,0,1,1023,yelp_polarity_train_1023,long,265,250
yelp_polarity,0,3,246,yelp_polarity_train_246,short,32,250
yelp_polarity,0,6,1048,yelp_polarity_train_1048,medium,118,250
yelp_polarity,0,10,752,yelp_polarity_train_752,long,201,250
yelp_polarity,0,11,368,yelp_polarity_train_368,short,29,250
yelp_polarity,0,17,418,yelp_polarity_train_418,short,52,250
yelp_polarity,0,25,213,yelp_polarity_train_213,long,187,250
yelp_polarity,0,54,1131,yelp_polarity_train_1131,medium,76,250
yelp_polarity,0,56,552,yelp_polarity_train_552,short,25,250
yelp_polarity,0,75,383,yelp_polarity_train_383,long,170,250
yelp_polarity,0,76,715,yelp_polarity_train_715,long,366,250
yelp_polarity,0,81,264,yelp_polarity_train_264,short,36,250
yelp_polarity,0,87,252,yelp_polarity_train_252,long,676,250
yelp_polarity,0,88,33,yelp_polarity_train_33,short,48,250
yelp_polarity,0,105,691,yelp_polarity_train_691,medium,83,250
yelp_polarity,0,120,926,yelp_polarity_train_926,short,29,250
yelp_polarity,0,125,1177,yelp_polarity_train_1177,long,161,250
yelp_polarity,0,140,1181,yelp_polarity_train_1181,short,41,250
yelp_polarity,0,146,395,yelp_polarity_train_395,medium,61,250
yelp_polarity,0,151,28,yelp_polarity_train_28,long,210,250
yelp_polarity,0,153,780,yelp_polarity_train_780,long,306,250
yelp_polarity,0,170,410,yelp_polarity_train_410,medium,95,250
yelp_polarity,0,191,421,yelp_polarity_train_421,short,49,250
yelp_polarity,0,193,47,yelp_polarity_train_47,medium,98,250
yelp_polarity,0,200,1116,yelp_polarity_train_1116,medium,140,250
yelp_polarity,0,201,626,yelp_polarity_train_626,short,28,250
yelp_polarity,0,211,799,yelp_polarity_train_799,medium,75,250
yelp_polarity,0,215,39,yelp_polarity_train_39,medium,70,250
yelp_polarity,0,237,1031,yelp_polarity_train_1031,long,149,250
tweet_eval_sentiment,0,0,807,tweet_eval_sentiment_train_807,medium,21,250
tweet_eval_sentiment,0,1,1023,tweet_eval_sentiment_train_1023,long,24,250
tweet_eval_sentiment,0,5,888,tweet_eval_sentiment_train_888,short,9,250
tweet_eval_sentiment,0,7,448,tweet_eval_sentiment_train_448,medium,20,250
tweet_eval_sentiment,0,8,87,tweet_eval_sentiment_train_87,long,24,250
tweet_eval_sentiment,0,9,651,tweet_eval_sentiment_train_651,short,11,250
tweet_eval_sentiment,0,19,673,tweet_eval_sentiment_train_673,short,15,250
tweet_eval_sentiment,0,23,610,tweet_eval_sentiment_train_610,long,23,250
tweet_eval_sentiment,0,43,878,tweet_eval_sentiment_train_878,short,6,250
tweet_eval_sentiment,0,62,1089,tweet_eval_sentiment_train_1089,short,14,250
tweet_eval_sentiment,0,63,475,tweet_eval_sentiment_train_475,medium,20,250
tweet_eval_sentiment,0,66,159,tweet_eval_sentiment_train_159,short,17,250
tweet_eval_sentiment,0,90,841,tweet_eval_sentiment_train_841,long,26,250
tweet_eval_sentiment,0,92,874,tweet_eval_sentiment_train_874,long,23,250
tweet_eval_sentiment,0,98,172,tweet_eval_sentiment_train_172,short,10,250
tweet_eval_sentiment,0,100,656,tweet_eval_sentiment_train_656,long,25,250
tweet_eval_sentiment,0,116,696,tweet_eval_sentiment_train_696,medium,17,250
tweet_eval_sentiment,0,120,926,tweet_eval_sentiment_train_926,short,10,250
tweet_eval_sentiment,0,136,849,tweet_eval_sentiment_train_849,long,24,250
tweet_eval_sentiment,0,150,315,tweet_eval_sentiment_train_315,medium,19,250
tweet_eval_sentiment,0,161,541,tweet_eval_sentiment_train_541,long,22,250
tweet_eval_sentiment,0,164,1092,tweet_eval_sentiment_train_1092,long,28,250
tweet_eval_sentiment,0,168,1125,tweet_eval_sentiment_train_1125,medium,20,250
tweet_eval_sentiment,0,176,129,tweet_eval_sentiment_train_129,short,16,250
tweet_eval_sentiment,0,184,2,tweet_eval_sentiment_train_2,short,16,250
tweet_eval_sentiment,0,196,317,tweet_eval_sentiment_train_317,medium,17,250
tweet_eval_sentiment,0,197,269,tweet_eval_sentiment_train_269,medium,21,250
tweet_eval_sentiment,0,205,1069,tweet_eval_sentiment_train_1069,medium,20,250
tweet_eval_sentiment,0,207,1145,tweet_eval_sentiment_train_1145,medium,21,250
tweet_eval_sentiment,0,241,93,tweet_eval_sentiment_train_93,long,22,250
emotion,0,1,1023,emotion_train_1023,medium,19,250
emotion,0,2,137,emotion_train_137,short,4,250
emotion,0,4,107,emotion_train_107,medium,19,250
emotion,0,8,87,emotion_train_87,long,37,250
emotion,0,13,684,emotion_train_684,short,7,250
emotion,0,14,484,emotion_train_484,long,44,250
emotion,0,18,432,emotion_train_432,short,5,250
emotion,0,35,268,emotion_train_268,long,27,250
emotion,0,41,88,emotion_train_88,short,8,250
emotion,0,58,1063,emotion_train_1063,short,7,250
emotion,0,61,161,emotion_train_161,medium,20,250
emotion,0,77,790,emotion_train_790,short,11,250
emotion,0,88,33,emotion_train_33,medium,20,250
emotion,0,102,1093,emotion_train_1093,long,31,250
emotion,0,107,386,emotion_train_386,long,25,250
emotion,0,110,710,emotion_train_710,short,10,250
emotion,0,118,988,emotion_train_988,long,33,250
emotion,0,131,1133,emotion_train_1133,short,12,250
emotion,0,136,849,emotion_train_849,medium,20,250
emotion,0,142,54,emotion_train_54,long,24,250
emotion,0,152,32,emotion_train_32,medium,21,250
emotion,0,169,441,emotion_train_441,long,38,250
emotion,0,171,982,emotion_train_982,long,32,250
emotion,0,190,462,emotion_train_462,short,7,250
emotion,0,191,421,emotion_train_421,medium,20,250
emotion,0,194,704,emotion_train_704,medium,17,250
emotion,0,199,652,emotion_train_652,short,11,250
emotion,0,204,86,emotion_train_86,medium,22,250
emotion,0,211,799,emotion_train_799,medium,19,250
emotion,0,237,1031,emotion_train_1031,long,33,250
